id,Spell Link,Spell name,Spell School,Verbal Component,Somatic Component,Material Component,Arcane Focus Component,Divine Focus Component,XP Component,Rulebook name,Edition
52,/spells/heroes-of-battle--69/aerial-alarm--1398/,Aerial Alarm,Abjuration,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Heroes of Battle,Supplementals (3.5)
53,/spells/races-of-faerun--23/aerial-summoning-dance--3056/,Aerial Summoning Dance,Conjuration,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Races of Faerun,Forgotten Realms (3.0)
54,/spells/book-of-exalted-deeds--52/affliction--86/,Affliction,Necromancy,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Book of Exalted Deeds,Supplementals (3.5)
55,/spells/forgotten-realms-campaign-setting--19/aganazzars-scorcher--1198/,Aganazzar's Scorcher,Evocation,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Forgotten Realms Campaign Setting,Forgotten Realms (3.0)
56,/spells/dragons-of-faerun--26/aggravate-dracorage--1100/,Aggravate Dracorage,Enchantment,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Dragons of Faerun,Forgotten Realms (3.5)
57,/spells/players-handbook-v35--6/aid--2523/,Aid,Enchantment,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Player's Handbook v.3.5,Core (3.5)
58,/spells/miniatures-handbook--75/aid-legions--1962/,Aid Legion's,Enchantment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Miniatures Handbook,Supplementals (3.5)
59,/spells/spell-compendium--86/aid-mass--3821/,Aid Mass,Enchantment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
60,/spells/complete-arcane--55/aiming-at-the-target--434/,Aiming At the Target,Abjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Complete Arcane,Supplementals (3.5)
61,/spells/oriental-adventures--96/aiming-at-the-target--2011/,Aiming At the Target,Abjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Oriental Adventures,Oriental Adventures (3.0)
62,/spells/spell-compendium--86/aiming-target--3822/,Aiming at the Target,Abjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
63,/spells/champions-of-ruin--27/air-breathing--287/,Air Breathing,Transmutation,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Champions of Ruin,Forgotten Realms (3.5)
64,/spells/savage-species--47/air-breathing--3216/,Air Breathing,Transmutation,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Savage Species,Supplementals (3.0)
65,/spells/stormwrack--87/air-breathing--3356/,Air Breathing,Transmutation,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Stormwrack,Supplementals (3.5)
66,/spells/spell-compendium--86/air-breathing--3823/,Air Breathing,Transmutation,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Spell Compendium,Supplementals (3.5)
67,/spells/players-handbook-v35--6/air-walk--2772/,Air Walk,Transmutation,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Player's Handbook v.3.5,Core (3.5)
68,/spells/stormwrack--87/airy-water--3357/,Airy Water,Transmutation,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Stormwrack,Supplementals (3.5)
69,/spells/magic-of-faerun--20/alamanthers-return--1728/,Alamanther's Return,Transmutation,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Magic of Faerun,Forgotten Realms (3.0)
70,/spells/players-handbook-v35--6/alarm--2299/,Alarm,Abjuration,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Player's Handbook v.3.5,Core (3.5)
71,/spells/spell-compendium--86/alarm-greater--3824/,Alarm Greater,Abjuration,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
72,/spells/book-of-vile-darkness--37/alert-bebilith--130/,Alert Bebilith,Conjuration,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Book of Vile Darkness,Supplementals (3.0)
73,/spells/frostburn--68/algid-enhancement--1295/,Algid Enhancement,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Frostburn,Supplementals (3.5)
74,/spells/silver-marches--97/alicorn-lance--3293/,Alicorn Lance,Evocation,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Silver Marches,Forgotten Realms (3.0)
75,/spells/miniatures-handbook--75/align-fang--1982/,Align Fang,Transmutation,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Miniatures Handbook,Supplementals (3.5)
76,/spells/spell-compendium--86/align-fang--3804/,Align Fang,Transmutation,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Spell Compendium,Supplementals (3.5)
77,/spells/miniatures-handbook--75/align-fang-legions--1983/,Align Fang Legion's,Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Miniatures Handbook,Supplementals (3.5)
78,/spells/spell-compendium--86/align-fang-mass--3817/,Align Fang Mass,Transmutation,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Spell Compendium,Supplementals (3.5)
79,/spells/players-handbook-v35--6/align-weapon--2773/,Align Weapon,Transmutation,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Player's Handbook v.3.5,Core (3.5)
80,/spells/miniatures-handbook--75/align-weapon-legions--1984/,Align Weapon Legion's,Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Miniatures Handbook,Supplementals (3.5)
81,/spells/spell-compendium--86/align-weapon-mass--3818/,Align Weapon Mass,Transmutation,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Spell Compendium,Supplementals (3.5)
82,/spells/complete-champion--57/aligned-aura--581/,Aligned Aura,Abjuration,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Complete Champion,Supplementals (3.5)
83,/spells/complete-adventurer--54/allegro--411/,Allegro,Transmutation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Complete Adventurer,Supplementals (3.5)
84,/spells/song-and-silence-a-guidebook-to-bards-and-rogues--48/allegro--3322/,Allegro,Transmutation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Song and Silence: A Guidebook to Bards and Rogues,Supplementals (3.0)
85,/spells/spell-compendium--86/allegro--3819/,Allegro,Transmutation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
86,/spells/complete-mage--58/allied-footsteps--795/,Allied Footsteps,Divination,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Complete Mage,Supplementals (3.5)
87,/spells/players-handbook-ii--80/alter-fortune--2939/,Alter Fortune,Divination,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Player's Handbook II,Supplementals (3.5)
88,/spells/players-handbook-v35--6/alter-self--2774/,Alter Self,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Player's Handbook v.3.5,Core (3.5)
89,/spells/silver-marches--97/alustriels-banner--3294/,Alustriel's Banner,Illusion,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Silver Marches,Forgotten Realms (3.0)
90,/spells/magic-of-faerun--20/amanuensis--1729/,Amanuensis,Transmutation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Magic of Faerun,Forgotten Realms (3.0)
91,/spells/spell-compendium--86/amanuensis--3785/,Amanuensis,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
92,/spells/book-of-exalted-deeds--52/amber-sarcophagus--59/,Amber Sarcophagus,Evocation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Book of Exalted Deeds,Supplementals (3.5)
93,/spells/song-and-silence-a-guidebook-to-bards-and-rogues--48/ambient-song--3316/,Ambient Song,Illusion,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Song and Silence: A Guidebook to Bards and Rogues,Supplementals (3.0)
94,/spells/underdark--34/amorphous-form--3502/,Amorphous Form,Transmutation,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Underdark,Forgotten Realms (3.5)
95,/spells/spell-compendium--86/amorphous-form--3820/,Amorphous Form,Transmutation,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
96,/spells/magic-of-faerun--20/amplify--1730/,Amplify,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Magic of Faerun,Forgotten Realms (3.0)
97,/spells/spell-compendium--86/amplify--3825/,Amplify,Transmutation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
98,/spells/players-handbook-v35--6/analyze-dweomer--2474/,Analyze Dweomer,Divination,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Player's Handbook v.3.5,Core (3.5)
99,/spells/forgotten-realms-campaign-setting--19/analyze-portal--1197/,Analyze Portal,Divination,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Forgotten Realms Campaign Setting,Forgotten Realms (3.0)
100,/spells/manual-of-the-planes--43/analyze-portal--1857/,Analyze Portal,Divination,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Manual of the Planes,Supplementals (3.0)
101,/spells/planar-handbook--79/analyze-portal--2174/,Analyze Portal,Divination,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Planar Handbook,Supplementals (3.5)
102,/spells/spell-compendium--86/analyze-portal--3826/,Analyze Portal,Divination,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
103,/spells/planar-handbook--79/analyze-touchstone--2175/,Analyze Touchstone,Divination,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Planar Handbook,Supplementals (3.5)
104,/spells/planar-handbook--79/anarchic-storm--2147/,Anarchic Storm,Conjuration,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Planar Handbook,Supplementals (3.5)
105,/spells/spell-compendium--86/anarchic-storm--3827/,Anarchic Storm,Conjuration,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Spell Compendium,Supplementals (3.5)
106,/spells/planar-handbook--79/anarchic-water--2193/,Anarchic Water,Transmutation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Planar Handbook,Supplementals (3.5)
107,/spells/spell-compendium--86/anarchic-water--3828/,Anarchic Water,Transmutation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
108,/spells/champions-of-ruin--27/anathema--274/,Anathema,Enchantment,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Champions of Ruin,Forgotten Realms (3.5)
109,/spells/oriental-adventures--96/ancestral-vengeance--2029/,Ancestral Vengeance,Conjuration,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Oriental Adventures,Oriental Adventures (3.0)
110,/spells/magic-of-eberron--9/ancient-knowledge--4758/,Ancient Knowledge,Divination,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Magic of Eberron,Eberron (3.5)
111,/spells/tome-of-battle-the-book-of-nine-swords--88/ancient-mountain-hammer--3708/,Ancient Mountain Hammer,Stone Dragon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Tome of Battle: The Book of Nine Swords,Supplementals (3.5)
112,/spells/miniatures-handbook--75/angelskin--1938/,Angelskin,Abjuration,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Miniatures Handbook,Supplementals (3.5)
113,/spells/spell-compendium--86/angelskin--3829/,Angelskin,Abjuration,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Spell Compendium,Supplementals (3.5)
114,/spells/complete-divine--56/anger-of-the-noonday-sun--690/,Anger of the Noonday Sun,Evocation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Complete Divine,Supplementals (3.5)
115,/spells/spell-compendium--86/anger-noonday-sun--3830/,Anger of the Noonday Sun,Evocation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
116,/spells/book-of-vile-darkness--37/angry-ache--198/,Angry Ache,Necromancy,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Book of Vile Darkness,Supplementals (3.0)
117,/spells/players-handbook-v35--6/animal-growth--2775/,Animal Growth,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Player's Handbook v.3.5,Core (3.5)
118,/spells/players-handbook-v35--6/animal-messenger--2524/,Animal Messenger,Enchantment,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Player's Handbook v.3.5,Core (3.5)
119,/spells/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/animal-reduction--1914/,Animal Reduction,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Masters of the Wild: A Guidebook to Barbarians Druids and Rangers,Supplementals (3.0)
120,/spells/players-handbook-v35--6/animal-shapes--2776/,Animal Shapes,Transmutation,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Player's Handbook v.3.5,Core (3.5)
121,/spells/magic-of-incarnum--74/animal-spirit--1823/,Animal Spirit,Divination,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Magic of Incarnum,Supplementals (3.5)
122,/spells/magic-of-incarnum--74/animal-spirit-mass--1824/,Animal Spirit Mass,Divination,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Magic of Incarnum,Supplementals (3.5)
123,/spells/players-handbook-v35--6/animal-trance--2525/,Animal Trance,Enchantment,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Player's Handbook v.3.5,Core (3.5)
124,/spells/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/animal-trick--1915/,Animal Trick,Transmutation,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Masters of the Wild: A Guidebook to Barbarians Druids and Rangers,Supplementals (3.0)
125,/spells/players-handbook-ii--80/animalistic-power--2997/,Animalistic Power,Transmutation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Player's Handbook II,Supplementals (3.5)
126,/spells/players-handbook-ii--80/animalistic-power-mass--2998/,Animalistic Power Mass,Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Player's Handbook II,Supplementals (3.5)
127,/spells/draconomicon--92/animate-breath--1024/,Animate Breath,Transmutation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Draconomicon,Supplementals (3.5)
128,/spells/spell-compendium--86/animate-breath--3831/,Animate Breath,Transmutation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
129,/spells/races-of-destiny--81/animate-city--3049/,Animate City,Transmutation,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Races of Destiny,Supplementals (3.5)
130,/spells/players-handbook-v35--6/animate-dead--2711/,Animate Dead,Necromancy,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Player's Handbook v.3.5,Core (3.5)
131,/spells/unapproachable-east--33/animate-dread-warrior--3468/,Animate Dread Warrior,Necromancy,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Unapproachable East,Forgotten Realms (3.0)
132,/spells/complete-arcane--55/animate-fire--533/,Animate Fire,Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Complete Arcane,Supplementals (3.5)
133,/spells/oriental-adventures--96/animate-fire--2099/,Animate Fire,Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Oriental Adventures,Oriental Adventures (3.0)
134,/spells/spell-compendium--86/animate-fire--3832/,Animate Fire,Transmutation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
135,/spells/complete-scoundrel--60/animate-instrument--908/,Animate Instrument,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Complete Scoundrel,Supplementals (3.5)
136,/spells/heroes-of-battle--69/animate-legion--1416/,Animate Legion,Necromancy,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Heroes of Battle,Supplementals (3.5)
137,/spells/players-handbook-v35--6/animate-objects--2777/,Animate Objects,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Player's Handbook v.3.5,Core (3.5)
138,/spells/players-handbook-v35--6/animate-plants--2778/,Animate Plants,Transmutation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Player's Handbook v.3.5,Core (3.5)
139,/spells/players-handbook-v35--6/animate-rope--2779/,Animate Rope,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Player's Handbook v.3.5,Core (3.5)
140,/spells/heroes-of-battle--69/animate-siege-weapon--1417/,Animate Siege Weapon,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Heroes of Battle,Supplementals (3.5)
141,/spells/frostburn--68/animate-snow--1296/,Animate Snow,Transmutation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Frostburn,Supplementals (3.5)
142,/spells/spell-compendium--86/animate-snow--3833/,Animate Snow,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
143,/spells/complete-arcane--55/animate-water--534/,Animate Water,Transmutation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Complete Arcane,Supplementals (3.5)
144,/spells/oriental-adventures--96/animate-water--2100/,Animate Water,Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Oriental Adventures,Oriental Adventures (3.0)
145,/spells/spell-compendium--86/animate-water--3834/,Animate Water,Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
146,/spells/complete-mage--58/animate-weapon--866/,Animate Weapon,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Complete Mage,Supplementals (3.5)
