name,spanishName,id,type
Player&#39;s Handbook v.3.5,,74,rulebooks
Power of Faerun,,75,rulebooks
Psionics Handbook 3.0,,76,rulebooks
Races of Destiny,,77,rulebooks
Races of Eberron,,78,rulebooks
Races of Faerun,,79,rulebooks
Races of Stone,,80,rulebooks
Races of the Dragon,,81,rulebooks
Races of the Wild,,82,rulebooks
Red Hand of Doom,,83,rulebooks
Return to the Temple of Elemental Evil,,84,rulebooks
Sandstorm,,85,rulebooks
Savage Species,,86,rulebooks
Secrets of Sarlona,,87,rulebooks
Secrets of Xen&#39;drik,,88,rulebooks
Serpent Kingdoms,,89,rulebooks
Shadowdale: The Scouring of the Land,,90,rulebooks
Sharn: City of Towers,,91,rulebooks
Shining South,,92,rulebooks
Silver Marches,,93,rulebooks
Song and Silence: A Guidebook to Bards and Rogues,,94,rulebooks
Spell Compendium,,95,rulebooks
Stormwrack,,96,rulebooks
Stronghold Builder&#39;s Guidebook,,97,rulebooks
Sword and Fist: A Guidebook to Monks and Fighters,,98,rulebooks
The Forge of War,,99,rulebooks
The Shattered Gates of Slaughtergarde,,100,rulebooks
Tome and Blood: A Guidebook to Wizards and Sorcerers,,101,rulebooks
Tome of Battle: The Book of Nine Swords,,102,rulebooks
Tome of Magic,,103,rulebooks
Unapproachable East,,104,rulebooks
Underdark,,105,rulebooks
Unearthed Arcana,,106,rulebooks
Weapons of Legacy,,107,rulebooks
Web,,108,rulebooks
Abjurant Champion,,1,classes
Abjurer Variant,,2,classes
Abolisher,,3,classes
Acolyte of the Ego,,4,classes
Acolyte of the Skin,,5,classes
Acolyte of the Skin,,6,classes
Adept,,7,classes
Aerial Avenger,,8,classes
Agent Retriever,,9,classes
Aglarondan Griffonrider,,10,classes
Akodo Champion,,11,classes
Alchemist Savant,,12,classes
Alienist,,13,classes
Alienist,,14,classes
Anarchic Initiate,,15,classes
Ancient Master,,16,classes
Anima Mage,,17,classes
Animal Lord,,18,classes
Animal Lord,,19,classes
Anointed Knight,,20,classes
Apostle of Peace,,21,classes
Arachne,,22,classes
Arachnomancer,,23,classes
Arachnomancer,,24,classes
Arboreal Guardian,,25,classes
Arcane Archer,,26,classes
Arcane Devotee,,27,classes
Arcane Devotee,,28,classes
Arcane Hierophant,,29,classes
Arcane Trickster,,30,classes
Arcane Trickster,,31,classes
Arcanopath Monk,,32,classes
Archivist,,33,classes
Archmage,,34,classes
Archmage,,35,classes
Ardent,,36,classes
Ardent Dilettante,,37,classes
Argent Fist,,38,classes
Argent Savant,,39,classes
Aristocrat,,40,classes
Artificer,,41,classes
Ashworm Dragoon,,42,classes
Assassin,,43,classes
Astral Dancer,,44,classes
Atavist,,45,classes
Auspician,,46,classes
Avenging Executioner,,47,classes
Bane of Infidels,,48,classes
Barbarian,,49,classes
Barbarian,,50,classes
Barbarian,,51,classes
Barbarian,,52,classes
Barbarian Variant,,53,classes
Bard,,54,classes
Bard,,55,classes
Bard,,56,classes
Bard Variant,,57,classes
Bardic Sage,,58,classes
Battle Dancer,,59,classes
Battle Maiden,,60,classes
Battle Scion,,61,classes
Battle Sorcerer,,62,classes
Battle Trickster,,63,classes
Battlerager,,64,classes
Battlesmith,,65,classes
Bayushi Deceiver,,66,classes
Bear Warrior,,67,classes
Bear Warrior,,68,classes
Beast Heart Adept,,69,classes
Beastmaster,,70,classes
Beguiler,,71,classes
Beholder Mage,,72,classes
Beholder Mage,,73,classes
Beloved of Valarian,,74,classes
Bereft,,75,classes
Berronar Valkyrie (Paladin),,76,classes
Berserk,,77,classes
Binder,,78,classes
Black Blood Cultist,,79,classes
Black Blood Hunter,,80,classes
Black Dog,,81,classes
Black Flame Zealot,,82,classes
Black Flame Zealot,,83,classes
Blackguard,,84,classes
Blade Bravo,,85,classes
Blade Dancer,,86,classes
Blade of Orien,,87,classes
Bladesinger,,88,classes
Bladesinger,,89,classes
Bladesinger,,90,classes
Blessed of Gruumsh,,91,classes
Blighter,,92,classes
Blighter,,93,classes
Blood Magus,,94,classes
Blood Magus,,95,classes
Bloodclaw Master,,96,classes
Bloodhound,,97,classes
Bloodhound,,98,classes
Bloodscaled Fury,,99,classes
Bloodstorm Blade,,100,classes
Bonded Summoner,,101,classes
Bone Collector,,102,classes
Bone Knight,,103,classes
Breachgnome,,104,classes
Brimstone Speaker,,105,classes
Broken One (Monk),,106,classes
Cabinet Trickster,,107,classes
Cancer Mage,,108,classes
Candle Caster,,109,classes
Cannith Wand Adept,,110,classes
Cataclysm Mage,,111,classes
Cavalier,,112,classes
Cavalier,,113,classes
Cavelord,,114,classes
Cavestalker,,115,classes
Celebrant of Sharess,,116,classes
Celestial Mystic,,117,classes
Cerebremancer,,118,classes
Cerebrex,,119,classes
Chameleon,,120,classes
Champion of Corellon Larethian,,121,classes
Champion of Gwynharwyf,,122,classes
Chaotician,,123,classes
Child of Night,,124,classes
Church Inquisitor,,125,classes
Church Inquisitor,,126,classes
Cipher Adept,,127,classes
Citadel Elite,,128,classes
Claw of the Sun and the Ankh (Paladin),,129,classes
Cleric,,130,classes
Cleric,,131,classes
Cleric,,132,classes
Cleric,,133,classes
Cleric Variant,,134,classes
Cloaked Dancer,,135,classes
Cloistered Cleric,,136,classes
Cloud Anchorite,,137,classes
Cognition Thief,,138,classes
Coiled Cabalist,,139,classes
Combat Medic,,140,classes
Combat Trapsmith,,141,classes
Commoner,,142,classes
Commoner,,143,classes
Conjurer Variant,,144,classes
Consecrated Harrier,,145,classes
Consecrated Harrier,,146,classes
Contemplative,,147,classes
Contemplative,,148,classes
Corrupt Avenger,,149,classes
Cosmic Descryer,,150,classes
Court Herald,,151,classes
Cragtop Archer,,152,classes
Crescent Moon Knight (Paladin),,153,classes
Crimson Scourge,,154,classes
Crinti Shadow Marauder,,155,classes
Crusader,,156,classes
Cryokineticist,,157,classes
Cultist of the Shattered Peak,,158,classes
Cyran Avenger,,159,classes
Cyre Scout,,160,classes
Daggerspell Mage,,161,classes
Daggerspell Shaper,,162,classes
Daidoji Bodyguard,,163,classes
Dark Hunter,,164,classes
Dark Lantern,,165,classes
Dark Scholar,,166,classes
Darkmask,,167,classes
Darkrunner,,168,classes
Darksong Knight (Fighter),,169,classes
Darkwood Stalker,,170,classes
Dawncaller,,171,classes
Deadgrim,,172,classes
Death Delver,,173,classes
Death Master,,174,classes
Death&#39;s Chosen,,175,classes
Deathwarden Chanter,,176,classes
Deep Diviner,,177,classes
Deepstone Sentinel,,178,classes
Deepwarden,,179,classes
Deepwood Sniper,,180,classes
Defender of Sealtiel,,181,classes
Defiant,,182,classes
Demonbinder,,183,classes
Demonologist,,184,classes
Demonwrecker,,185,classes
Demonwrecker Arcane,,186,classes
Deneith Warden,,187,classes
Dervish,,188,classes
Devoted Defender,,189,classes
Diabolist,,190,classes
Diamond Dragon,,191,classes
Dirgesinger,,192,classes
Disciple of Ashardalon,,193,classes
Disciple of Asmodeus,,194,classes
Disciple of Baalzebul,,195,classes
Disciple of Dispater,,196,classes
Disciple of Mammon,,197,classes
Disciple of Mephistopheles,,198,classes
Disciple of the Eye,,199,classes
Disciple of the Word,,200,classes
Disciple of Thrym,,201,classes
Dispassionate Watcher of Chronepsis,,202,classes
Divine Agent,,203,classes
Divine Bard,,204,classes
Divine Champion,,205,classes
Divine Champion,,206,classes
Divine Crusader,,207,classes
Divine Disciple,,208,classes
Divine Disciple,,209,classes
Divine Emissary,,210,classes
Divine Mind,,211,classes
Divine Oracle,,212,classes
Divine Oracle,,213,classes
Divine Prankster,,214,classes
Divine Seeker,,215,classes
Divine Seeker,,216,classes
Diviner Variant,,217,classes
Domain Wizard,,218,classes
Doomdreamer,,219,classes
Doomguide,,220,classes
Doomlord,,221,classes
Dracolexi,,222,classes
Dracolyte,,223,classes
Dragon Ascendant,,224,classes
Dragon Descendant,,225,classes
Dragon Devotee,,226,classes
Dragon Disciple,,227,classes
Dragon Disciple,,228,classes
Dragon Lord,,229,classes
Dragon Prophet,,230,classes
Dragon Rider,,231,classes
Dragon Samurai,,232,classes
Dragon Shaman,,233,classes
Dragonfire Adept,,234,classes
Dragonheart Mage,,235,classes
Dragonkith,,236,classes
Dragonmark Heir,,237,classes
Dragonrider,,238,classes
Dragonslayer,,239,classes
Dragonsong Lyrist,,240,classes
Dragonstalker,,241,classes
Dread Commando,,242,classes
Dread Fang of Lolth,,243,classes
Dread Necromancer,,244,classes
Dread Pirate,,245,classes
Dread Pirate,,246,classes
Dread Witch,,247,classes
Dreadmaster,,248,classes
Drow Judicator,,249,classes
Druid,,250,classes
Druid,,251,classes
Druid,,252,classes
Druid,,253,classes
Druid Variant,,254,classes
Druidic Avenger,,255,classes
Drunken Master,,256,classes
Drunken Master,,257,classes
Duelist,,258,classes
Duelist,,259,classes
Duergar Racial Class,,260,classes
Dukar,,261,classes
Dungeon Delver,,262,classes
Dungeon Delver,,263,classes
Dungeon Lord,,264,classes
Duraak&#39;ash,,265,classes
Durthan,,266,classes
Duskblade,,267,classes
Dwarven Defender,,268,classes
Dweomerkeeper,,269,classes
Dweomerkeeper,,270,classes
Earth Dreamer,,271,classes
Ebon Saint,,272,classes
Ebonmar Infiltrator,,273,classes
Ectopic Adept,,274,classes
Effigy Master,,275,classes
Eidolon,,276,classes
Eidoloncer,,277,classes
Eldeen Ranger,,278,classes
Eldritch Disciple,,279,classes
Eldritch Knight,,280,classes
Eldritch Theurge,,281,classes
Elemental Archon,,282,classes
Elemental Master,,283,classes
Elemental Savant,,284,classes
Elemental Savant,,285,classes
Elemental Scion of Zilargo,,286,classes
Elemental Warrior,,287,classes
Elocater,,288,classes
Elven High Mage,,289,classes
Emancipated Spawn,,290,classes
Emissary of Barachiel,,291,classes
Enchanter Variant,,292,classes
Enlightened Fist,,293,classes
Enlightened Spirit,,294,classes
Entropomancer,,295,classes
Ephemeral Exemplar,,296,classes
Epic Arcane Archer,,297,classes
Epic Assassin,,298,classes
Epic Barbarian,,299,classes
Epic Barbarian,,300,classes
Epic Bard,,301,classes
Epic Blackguard,,302,classes
Epic Cleric,,303,classes
Epic Druid,,304,classes
Epic Dwarven Defender,,305,classes
Epic Fighter,,306,classes
Epic Infiltrator,,307,classes
Epic Loremaster,,308,classes
Epic Monk,,309,classes
Epic Paladin,,310,classes
Epic Psion,,311,classes
Epic Psychic Warrior,,312,classes
Epic Ranger,,313,classes
Epic Rogue,,314,classes
Epic Shadowdancer,,315,classes
Epic Sorcerer,,316,classes
Epic Wizard,,317,classes
Erudite (variant Psion),,318,classes
Escalation Mage,,319,classes
Eternal Blade,,320,classes
Eternal Order (Paladin),,321,classes
Eunuch Warlock,,322,classes
Evangelist,,323,classes
Evereskan Tomb Guardian,,324,classes
Evoker Variant,,325,classes
Exalted Arcanist,,326,classes
Exemplar,,327,classes
Exorcist of the Silver Flame,,328,classes
Exotic Weapon Master,,329,classes
Exotic Weapon Master,,330,classes
Expert,,331,classes
Expert,,332,classes
Expert,,333,classes
Extreme Explorer,,334,classes
Eye of Gruumsh,,335,classes
Eye of Gruumsh,,336,classes
Eye of Horus-re,,337,classes
Eye of Lolth,,338,classes
Factotum,,339,classes
Faith Scion,,340,classes
Fang of Lolth,,341,classes
Fang of Sseth,,342,classes
Fangshields Barbarian,,343,classes
Fangshields Druid,,344,classes
Fangshields Ranger,,345,classes
Fatemaker,,346,classes
Fatespinner,,347,classes
Fatespinner,,348,classes
Favored Soul,,349,classes
Favored Soul,,350,classes
Fiend of Blasphemy,,351,classes
Fiend of Corruption,,352,classes
Fiend of Possession,,353,classes
Fiend-blooded,,354,classes
Fiendbinder,,355,classes
Fighter,,356,classes
Fighter,,357,classes
Fighter,,358,classes
Fighter Variant,,359,classes
Fist of Dal Quor,,360,classes
Fist of Hextor,,361,classes
Fist of Raziel,,362,classes
Fist of the Forest,,363,classes
Fist of Zuoken,,364,classes
Flayerspawn Psychic,,365,classes
Fleet Runner of Ehlonna,,366,classes
Fleshwarper,,367,classes
Flux Adept,,368,classes
Fochlucan Lyrist,,369,classes
Foe Hunter,,370,classes
Force Missile Mage,,371,classes
Forest Master,,372,classes
Forest Reeve,,373,classes
Forsaker,,374,classes
Fortune&#39;s Friend,,375,classes
Frenzied Berserker,,376,classes
Frenzied Berserker,,377,classes
Frost Mage,,378,classes
Frostrager,,379,classes
Gatecrasher,,380,classes
Gatekeeper Mystagogue,,381,classes
Geomancer,,382,classes
Geomancer,,383,classes
Geometer,,384,classes
Ghost Slayer,,385,classes
Ghost-faced Killer,,386,classes
Ghostwalker,,387,classes
Giant-killer,,388,classes
Githyanki Racial Class,,389,classes
Githzerai Racial Class,,390,classes
Gladiator,,391,classes
Glorious Servitor,,392,classes
Gnome Artificer,,393,classes
Gnome Giant-slayer,,394,classes
Golden Cup (Paladin),,395,classes
Golden Lion (Paladin),,396,classes
Goldeye,,397,classes
Goliath Liberator,,398,classes
Gray Guard,,399,classes
Gray Hand Enforcer,,400,classes
Great Rift Deep Defender,,401,classes
Great Rift Skyguard,,402,classes
Great Sea Corsair,,403,classes
Green Star Adept,,404,classes
Guardian Paramount,,405,classes
Guild Thief,,406,classes
Guild Wizard of Waterdeep,,407,classes
Half-giant Racial Class,,408,classes
Halfling Outrider,,409,classes
Halfling Outrider,,410,classes
Halruaan Elder,,411,classes
Halruaan Magehound,,412,classes
Hammer of Moradin,,413,classes
Hand of the Adama,,414,classes
Hand of the Winged Masters,,415,classes
Harper Agent,,416,classes
Harper Mage,,417,classes
Harper Paragon,,418,classes
Harper Priest,,419,classes
Harper Scout,,420,classes
Hathran,,421,classes
Hathran,,422,classes
Havoc Mage,,423,classes
Haztaratain,,424,classes
Healer,,425,classes
Heartwarder,,426,classes
Heir of Siberys,,427,classes
Hellbreaker,,428,classes
Hellfire Warlock,,429,classes
Hellreaver,,430,classes
Henshin Mystic,,431,classes
Hexblade,,432,classes
Hexer,,433,classes
Hida Defender,,434,classes
Hidecarved Dragon,,435,classes
Hierophant,,436,classes
Hierophant,,437,classes
High Elemental Binder,,438,classes
High Proselytizer,,439,classes
Highland Stalker,,440,classes
Hin Fist,,441,classes
Hoardstealer,,442,classes
Holt Warden,,443,classes
Holy Judge (Paladin),,444,classes
Holy Liberator,,445,classes
Holy Liberator,,446,classes
Holy Scourge,,447,classes
Hordebreaker,,448,classes
Horizon Walker,,449,classes
Horned Harbinger,,450,classes
Hospitaler,,451,classes
Hospitaler,,452,classes
Hulking Hurler,,453,classes
Hunter of the Dead,,454,classes
Hunter of the Dead,,455,classes
Iaijutsu Master,,456,classes
Illithid Body Tamer,,457,classes
Illithid Savant,,458,classes
Illithid Slayer,,459,classes
Illumine Soul,,460,classes
Illusionist Variant,,461,classes
Imaskari Vengeance Taker,,462,classes
Impure Prince,,463,classes
Incandescent Champion,,464,classes
Incantatrix,,465,classes
Incantatrix,,466,classes
Incarnate,,467,classes
Incarnum Blade,,468,classes
Initiate of Pistis Sophia,,469,classes
Initiate of the Draconic Mysteries,,470,classes
Initiate of the Sevenfold Veil,,471,classes
Inquisitor,,472,classes
Inquisitor of the Drowning Goddess,,473,classes
Insidious Corruptor,,474,classes
Invisible Blade,,475,classes
Iron Mind,,476,classes
Ironsoul Forgemaster,,477,classes
Jade Phoenix Mage,,478,classes
Jaunter,,479,classes
Jester,,480,classes
Jordain Vizier,,481,classes
Justice of Weald and Woe,,482,classes
Justiciar,,483,classes
Justiciar of Taiia,,484,classes
Justiciar of Tyr,,485,classes
Keeper of the Cerulean Sign,,486,classes
Kensai,,487,classes
King/queen of the Wild,,488,classes
Kinslayer,,489,classes
Kishi Charger,,490,classes
Knight,,491,classes
Knight of the Blue Moon,,492,classes
Knight of the Chalice,,493,classes
Knight of the Chalice,,494,classes
Knight of the Crown,,495,classes
Knight of the Flying Hunt,,496,classes
Knight of the Iron Glacier,,497,classes
Knight of the Lily,,498,classes
Knight of the Middle Circle,,499,classes
Knight of the Pearl,,500,classes
Knight of the Raven,,501,classes
Knight of the Rose,,502,classes
Knight of the Sacred Seal,,503,classes
Knight of the Skull,,504,classes
Knight of the Sword,,505,classes
Knight of the Thorn,,506,classes
Knight of the Weave,,507,classes
Knight Phantom,,508,classes
Knight Protector,,509,classes
Knight Protector of the Great Kingdom,,510,classes
Knight-errant of Silverymoon,,511,classes
Landforged Walker,,512,classes
Lasher,,513,classes
Legacy Champion,,514,classes
Legendary Captain,,515,classes
Legendary Dreadnought,,516,classes
Legendary Leader,,517,classes
Legendary Tactician,,518,classes
Leviathan Hunter,,519,classes
Lifedrinker,,520,classes
Lightbringer,,521,classes
Lion Legionnaire (Paladin),,522,classes
Lion of Talisid,,523,classes
Lord of Tides,,524,classes
Loredelver,,525,classes
Loremaster,,526,classes
Luckstealer,,527,classes
Luiren Marchwarden,,528,classes
Lurk,,529,classes
Lurking Terror,,530,classes
Lyric Thaumaturge,,531,classes
Maester,,532,classes
Mage of the Arcane Order,,533,classes
Mage of the Arcane Order,,534,classes
Mage-killer,,535,classes
Magelord,,536,classes
Magical Trickster,,537,classes
Maho-bujin,,538,classes
Maho-tsukai,,539,classes
Maiden of Pain,,540,classes
Malconvoker,,541,classes
Mantis Mercenary,,542,classes
Maquar Crusader,,543,classes
Marshal,,544,classes
Martyred Champion of Ilmater,,545,classes
Master Alchemist,,546,classes
Master Inquisitive,,547,classes
Master of Chains,,548,classes
Master of Flies,,549,classes
Master of Many Forms,,550,classes
Master of Masks,,551,classes
Master of Nine,,552,classes
Master of Radiance,,553,classes
Master of Shadow,,554,classes
Master of Shrouds,,555,classes
Master of Shrouds,,556,classes
Master of Shrouds,,557,classes
Master of the Unseen Hand,,558,classes
Master of the Yuirwood,,559,classes
Master of Vipers,,560,classes
Master Samurai,,561,classes
Master Specialist,,562,classes
Master Thrower,,563,classes
Master Transmogrifist,,564,classes
Master Vampire,,565,classes
Medani Prophet,,566,classes
Menacing Brute,,567,classes
Merchant Prince,,568,classes
Metamind,,569,classes
Mindbender,,570,classes
Mindbender,,571,classes
Mindspy,,572,classes
Mirumoto Niten Master,,573,classes
Monk,,574,classes
Monk,,575,classes
Monk,,576,classes
Monk of the Enabled Hand,,577,classes
Monk of the Long Death,,578,classes
Monk Variant,,579,classes
Monk Variant: Fighting Styles,,580,classes
Moon Guardian,,581,classes
Moonsea Skysentinel,,582,classes
Moonspeaker,,583,classes
Moonstar Agent,,584,classes
Morninglord of Lathander,,585,classes
Mortal Hunter,,586,classes
Moto Avenger,,587,classes
Mountebank,,588,classes
Mountebank (Dragon Compendium),,589,classes
Mystic,,590,classes
Mystic Fire Knight (Paladin),,591,classes
Mystic Theurge,,592,classes
Mystic Wanderer,,593,classes
Mythic Exemplar,,594,classes
Naga Overlord,,595,classes
Nar Demonbinder,,596,classes
Nature&#39;s Warrior,,597,classes
Necrocarnate,,598,classes
Necromancer Variant,,599,classes
Nentyar Hunter,,600,classes
Night Mask Deathbringer,,601,classes
Nightcloak,,602,classes
Nightcloak,,603,classes
Nightmare Spinner,,604,classes
Nightsong Enforcer,,605,classes
Nightsong Infiltrator,,606,classes
Ninja,,607,classes
Ninja of the Crescent Moon,,608,classes
Ninja Spy,,609,classes
Noble,,610,classes
Noble Heart (Paladin),,611,classes
Noctumancer,,612,classes
Nosomatic Chirurgeon,,613,classes
Occult Slayer,,614,classes
Ocular Adept,,615,classes
Olin Gisir,,616,classes
Ollam,,617,classes
Oozemaster,,618,classes
Orc Scout,,619,classes
Orc Warlord,,620,classes
Ordained Champion,,621,classes
Order of the Bow Initiate,,622,classes
Order of the Bow Initiate,,623,classes
Osteomancer,,624,classes
Outcast Champion,,625,classes
Outlaw of the Crimson Road,,626,classes
Pact-bound Adept,,627,classes
Paladin,,628,classes
Paladin,,629,classes
Paladin,,630,classes
Paladin,,631,classes
Paladin of Freedom,,632,classes
Paladin of Slaughter,,633,classes
Paladin of Tyranny,,634,classes
Paladin Variant,,635,classes
Paladin Variant,,636,classes
Pale Master,,637,classes
Pale Master,,638,classes
Paragnostic Apostle,,639,classes
Paragnostic Initiate,,640,classes
Peerless Archer,,641,classes
Peregrine Runner,,642,classes
Perfect Wight,,643,classes
Phoenix Disciple (Monk),,644,classes
Pious Templar,,645,classes
Pixie,,646,classes
Planar Champion,,647,classes
Planar Ranger,,648,classes
Planar Shepherd,,649,classes
Planeshifter,,650,classes
Platinum Knight,,651,classes
Prestige Bard,,652,classes
Prestige Paladin,,653,classes
Prestige Ranger,,654,classes
Primal Scholar,,655,classes
Prime Underdark Guide,,656,classes
Primeval,,657,classes
Prophet of Erathaoi,,658,classes
Psibond Agent,,659,classes
Psion,,660,classes
Psion Uncarnate,,661,classes
Psionic Artificer,,662,classes
Psychic Theurge,,663,classes
Psychic Warrior,,664,classes
Purifier of the Hallowed Doctrine,,665,classes
Purple Dragon Knight,,666,classes
Purple Dragon Knight,,667,classes
Purple Dragon Knight,,668,classes
Purple Staff (Cleric),,669,classes
Pyrokineticist,,670,classes
Quori Mindhunter,,671,classes
Quori Nightmare,,672,classes
Radiant Servant of Pelor,,673,classes
Rage Mage,,674,classes
Rainbow Servant,,675,classes
Ranger,,676,classes
Ranger,,677,classes
Ranger,,678,classes
Ranger,,679,classes
Ranger Variant,,680,classes
Ranger Variant,,681,classes
Raumathari Battlemage,,682,classes
Ravager,,683,classes
Ravager,,684,classes
Reachrunner,,685,classes
Reaping Mauler,,686,classes
Recaster,,687,classes
Red Avenger,,688,classes
Red Falcon (Paladin),,689,classes
Red Wizard,,690,classes
Red Wizard,,691,classes
Reforged,,692,classes
Renegade Mastermaker,,693,classes
Revenant Blade,,694,classes
Righteous Zealot,,695,classes
Rimefire Witch,,696,classes
Risen Martyr,,697,classes
Rogue,,698,classes
Rogue,,699,classes
Rogue,,700,classes
Rogue Variant,,701,classes
Ronin,,702,classes
Royal Explorer,,703,classes
Ruathar,,704,classes
Ruby Knight Vindicator,,705,classes
Ruby Rose Knight (Paladin),,706,classes
Runecaster,,707,classes
Runecaster,,708,classes
Runescarred Berserker,,709,classes
Runesmith,,710,classes
Sacred Exorcist,,711,classes
Sacred Exorcist,,712,classes
Sacred Fist,,713,classes
Sacred Fist,,714,classes
Sacred Purifier,,715,classes
Sacred Warder of Bahamut,,716,classes
Samurai,,717,classes
Samurai,,718,classes
Sanctified Mind,,719,classes
Sanctified One,,720,classes
Sand Shaper,,721,classes
Sapphire Hierarch,,722,classes
Savage Bard,,723,classes
Savant,,724,classes
Savant Aboleth,,725,classes
Scaled Horror,,726,classes
Scar Enforcer,,727,classes
Scarlet Corsair,,728,classes
Scion of Dantalion,,729,classes
Scion of Tem-et-nu,,730,classes
Scorpion Heritor,,731,classes
Scorpion Wraith,,732,classes
Scourge Maiden,,733,classes
Scout,,734,classes
Sea Mother Whip,,735,classes
Sea Witch,,736,classes
Seeker of the Misty Isle,,737,classes
Seeker of the Song,,738,classes
Sentinel of Bharrai,,739,classes
Serene Guardian,,740,classes
Serpent Slayer,,741,classes
Sha&#39;ir,,742,classes
Shaaryan Hunter,,743,classes
Shade Hunter,,744,classes
Shadow Adept,,745,classes
Shadow Adept,,746,classes
Shadow Hunter,,747,classes
Shadow Scout,,748,classes
Shadow Sentinel,,749,classes
Shadow Sun Ninja,,750,classes
Shadow Sword (Ranger),,751,classes
Shadow Thief of Amn,,752,classes
Shadowbane Inquisitor,,753,classes
Shadowbane Stalker,,754,classes
Shadowblade,,755,classes
Shadowcaster,,756,classes
Shadowcraft Mage,,757,classes
Shadowcrafter,,758,classes
Shadowdancer,,759,classes
Shadowmind,,760,classes
Shadowsmith,,761,classes
Shadowspy,,762,classes
Shadowstriker,,763,classes
Shaman,,764,classes
Shaper of Form,,765,classes
Shapeshifter,,766,classes
Sharn Skymage,,767,classes
Shiba Protector,,768,classes
Shifter,,769,classes
Shining Blade of Heironeous,,770,classes
Shintao Monk,,771,classes
Shooting Star (Ranger),,772,classes
Shou Disciple,,773,classes
Shugenja,,774,classes
Shugenja,,775,classes
Silver Key,,776,classes
Silver Pyromancer,,777,classes
Silverstar,,778,classes
Singer of Concordance,,779,classes
Singh Rager,,780,classes
Siren,,781,classes
Skullclan Hunter,,782,classes
Skylord,,783,classes
Skypledged,,784,classes
Slaad Brooder,,785,classes
Slayer of Domiel,,786,classes
Slime Lord,,787,classes
Sohei,,788,classes
Solar Channeler,,789,classes
Soldier of Light,,790,classes
Sorcerer,,791,classes
Sorcerer,,792,classes
Sorcerer,,793,classes
Sorcerer,,794,classes
Sorcerer/Wizard Variant,,795,classes
Soul Eater,,796,classes
Soulborn,,797,classes
Soulbow,,798,classes
Soulcaster,,799,classes
Soulguard,,800,classes
Soulknife,,801,classes
Sovereign Speaker,,802,classes
Specialized Wizard Variants,,803,classes
Spell Scion,,804,classes
Spellcarved Soldier,,805,classes
Spellcaster,,806,classes
Spelldancer,,807,classes
Spellfire Channeler,,808,classes
Spellguard of Silverymoon,,809,classes
Spellsinger,,810,classes
Spellsword,,811,classes
