Feat, featLink, book, bookLink
Adaptive Style,/feats/tome-of-battle-the-book-of-nine-swords--88/adaptive-style--36/,Tome of Battle: The Book of Nine Swords,/rulebooks/supplementals-35--5/tome-of-battle-the-book-of-nine-swords--88/
Additional Favored Class,/feats/unearthed-arcana--90/additional-favored-class--37/,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
Additional Magic Item Space,/feats/epic-level-handbook--41/additional-magic-item-space--38/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
Adroit Flyby Attack,/feats/draconomicon--92/adroit-flyby-attack--3214/,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
Advantageous Avoidance ,/feats/complete-scoundrel--60/advantageous-avoidance--39/,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
Aerenal Arcanist,/feats/players-guide-to-eberron--13/aerenal-arcanist--40/,Player&#39;s Guide to Eberron,/rulebooks/eberron-35--3/players-guide-to-eberron--13/
Aerenal Beastmaster,/feats/races-of-eberron--10/aerenal-beastmaster--41/,Races of Eberron,/rulebooks/eberron-35--3/races-of-eberron--10/
Aerenal Half-Life,/feats/players-guide-to-eberron--13/aerenal-half-life--42/,Player&#39;s Guide to Eberron,/rulebooks/eberron-35--3/players-guide-to-eberron--13/
Aereni Focus,/feats/players-guide-to-eberron--13/aereni-focus--43/,Player&#39;s Guide to Eberron,/rulebooks/eberron-35--3/players-guide-to-eberron--13/
Aerial Reflexes,/feats/races-of-the-wild--84/aerial-reflexes--44/,Races of the Wild,/rulebooks/supplementals-35--5/races-of-the-wild--84/
Aerial Superiority,/feats/races-of-the-wild--84/aerial-superiority--45/,Races of the Wild,/rulebooks/supplementals-35--5/races-of-the-wild--84/
Aftersight,/feats/races-of-faerun--23/aftersight--46/,Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/
Aggressive,/feats/unearthed-arcana--90/aggressive--47/,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
Aggressive Mind,/feats/complete-psionic--59/aggressive-mind--48/,Complete Psionic,/rulebooks/supplementals-35--5/complete-psionic--59/
Agile,/feats/players-handbook-v35--6/agile--49/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
Agile Athlete,/feats/races-of-the-wild--84/agile-athlete--50/,Races of the Wild,/rulebooks/supplementals-35--5/races-of-the-wild--84/
Agile Shield Fighter,/feats/players-handbook-ii--80/agile-shield-fighter--51/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Agile Tyrant,/feats/lords-of-madness--72/agile-tyrant--52/,Lords of Madness,/rulebooks/supplementals-35--5/lords-of-madness--72/
Agony Touch,/feats/ghostwalk--94/agony-touch--3470/,Ghostwalk,/rulebooks/supplementals-30--7/ghostwalk--94/
Air Bloodline,/feats/dragon-compendium--109/air-bloodline--3331/,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
Air Devotion,/feats/complete-champion--57/air-devotion--53/,Complete Champion,/rulebooks/supplementals-35--5/complete-champion--57/
Air Heritage,/feats/planar-handbook--79/air-heritage--54/,Planar Handbook,/rulebooks/supplementals-35--5/planar-handbook--79/
Alacritous Cogitation ,/feats/complete-mage--58/alacritous-cogitation--55/,Complete Mage,/rulebooks/supplementals-35--5/complete-mage--58/
Alertness,/feats/players-handbook-v35--6/alertness--56/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
Aleval School,/feats/drow-of-the-underdark--93/aleval-school--3456/,Drow of the Underdark,/rulebooks/supplementals-35--5/drow-of-the-underdark--93/
Aligned Attack,/feats/expanded-psionics-handbook--65/aligned-attack--61/,Expanded Psionics Handbook,/rulebooks/supplementals-35--5/expanded-psionics-handbook--65/
Allied Defense,/feats/shining-south--25/allied-defense--62/,Shining South,/rulebooks/forgotten-realms-35--4/shining-south--25/
Alluring,/feats/song-and-silence-a-guidebook-to-bards-and-rogues--48/alluring--63/,Song and Silence: A Guidebook to Bards and Rogues,/rulebooks/supplementals-30--7/song-and-silence-a-guidebook-to-bards-and-rogues--48/
Alternate Form,/feats/dragons-ebberon--112/alternate-form--3585/,Dragons of Ebberon,/rulebooks/eberron-35--3/dragons-ebberon--112/
Altitude Adaptation,/feats/frostburn--68/altitude-adaptation--64/,Frostburn,/rulebooks/supplementals-35--5/frostburn--68/
Altitude Adaptation,/feats/secrets-of-sarlona--14/altitude-adaptation--65/,Secrets of Sarlona,/rulebooks/eberron-35--3/secrets-of-sarlona--14/
Ambidexterity,/feats/players-handbook-30--106/ambidexterity--3321/,Player&#39;s Handbook 3.0,/rulebooks/core-30--10/players-handbook-30--106/
Anarchic Bloodline,/feats/dragon-compendium--109/anarchic-bloodline--3332/,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
Anarchic Heritage,/feats/planar-handbook--79/anarchic-heritage--67/,Planar Handbook,/rulebooks/supplementals-35--5/planar-handbook--79/
Ancestral Guidance,/feats/races-of-eberron--10/ancestral-guidance--68/,Races of Eberron,/rulebooks/eberron-35--3/races-of-eberron--10/
Ancestral Knowledge,/feats/races-of-stone--82/ancestral-knowledge--69/,Races of Stone,/rulebooks/supplementals-35--5/races-of-stone--82/
Ancestral Relic,/feats/book-of-exalted-deeds--52/ancestral-relic--70/,Book of Exalted Deeds,/rulebooks/supplementals-35--5/book-of-exalted-deeds--52/
Ancestral Spirit,/feats/races-of-faerun--23/ancestral-spirit--71/,Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/
Ancestral Whispers,/feats/faiths-of-eberron--8/ancestral-whispers--72/,Faiths of Eberron,/rulebooks/eberron-35--3/faiths-of-eberron--8/
Animal Affinity,/feats/players-handbook-v35--6/animal-affinity--3197/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
Animal Control,/feats/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/animal-control--74/,Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers,/rulebooks/supplementals-30--7/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/
Animal Defiance,/feats/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/animal-defiance--75/,Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers,/rulebooks/supplementals-30--7/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/
Animal Devotion,/feats/complete-champion--57/animal-devotion--76/,Complete Champion,/rulebooks/supplementals-35--5/complete-champion--57/
Animal Friend,/feats/book-of-exalted-deeds--52/animal-friend--77/,Book of Exalted Deeds,/rulebooks/supplementals-35--5/book-of-exalted-deeds--52/
Animal Friends,/feats/races-of-faerun--23/animal-friends--78/,Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/
Ankheg Tribe Ambush,/feats/shining-south--25/ankheg-tribe-ambush--79/,Shining South,/rulebooks/forgotten-realms-35--4/shining-south--25/
Antagonist,/feats/complete-psionic--59/antagonist--80/,Complete Psionic,/rulebooks/supplementals-35--5/complete-psionic--59/
Antipsionic Magic,/feats/expanded-psionics-handbook--65/antipsionic-magic--81/,Expanded Psionics Handbook,/rulebooks/supplementals-35--5/expanded-psionics-handbook--65/
Anvil of Thunder,/feats/complete-warrior--61/anvil-of-thunder--82/,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
Apostate,/feats/elder-evils--110/apostate--3506/,Elder Evils,/rulebooks/supplementals-35--5/elder-evils--110/
Appraise Magic Value,/feats/complete-adventurer--54/appraise-magic-value--83/,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
Apprentice,/feats/dungeon-masters-guide-ii--40/apprentice--3265/,Dungeon Master&#39;s Guide II,/rulebooks/supplementals-35--5/dungeon-masters-guide-ii--40/
Aquatic Breath,/feats/complete-mage--58/aquatic-breath--84/,Complete Mage,/rulebooks/supplementals-35--5/complete-mage--58/
Aquatic Shot,/feats/stormwrack--87/aquatic-shot--85/,Stormwrack,/rulebooks/supplementals-35--5/stormwrack--87/
Aquatic Spellcasting,/feats/lords-of-madness--72/aquatic-spellcasting--86/,Lords of Madness,/rulebooks/supplementals-35--5/lords-of-madness--72/
Arachnid Rider,/feats/races-of-faerun--23/arachnid-rider--87/,Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/
Arcane Accompaniment,/feats/players-handbook-ii--80/arcane-accompaniment--88/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Arcane Consumption,/feats/players-handbook-ii--80/arcane-consumption--89/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Arcane Defense,/feats/complete-arcane--55/arcane-defense--90/,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
Arcane Defense,/feats/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/arcane-defense--91/,Tome and Blood: A Guidebook to Wizards and Sorcerers,/rulebooks/supplementals-30--7/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/
Arcane Disciple,/feats/complete-divine--56/arcane-disciple--92/,Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/
Arcane Flourish,/feats/players-handbook-ii--80/arcane-flourish--93/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Arcane Insight,/feats/races-of-destiny--81/arcane-insight--94/,Races of Destiny,/rulebooks/supplementals-35--5/races-of-destiny--81/
Arcane Manipulation,/feats/lost-empires-of-faerun--30/arcane-manipulation--95/,Lost Empires of Faerun,/rulebooks/forgotten-realms-35--4/lost-empires-of-faerun--30/
Arcane mastery,/feats/complete-arcane--55/arcane-mastery--96/,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
Arcane Preparation,/feats/complete-arcane--55/arcane-preparation--97/,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
Arcane Preparation,/feats/forgotten-realms-campaign-setting--19/arcane-preparation--98/,Forgotten Realms Campaign Setting,/rulebooks/forgotten-realms-30--6/forgotten-realms-campaign-setting--19/
Arcane Preparation,/feats/players-guide-to-faerun--22/arcane-preparation--99/,,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
Arcane Preparation,/feats/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/arcane-preparation--100/,Tome and Blood: A Guidebook to Wizards and Sorcerers,/rulebooks/supplementals-30--7/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/
Arcane Schooling,/feats/forgotten-realms-campaign-setting--19/arcane-schooling--101/,Forgotten Realms Campaign Setting,/rulebooks/forgotten-realms-30--6/forgotten-realms-campaign-setting--19/
Arcane Schooling,/feats/players-guide-to-faerun--22/arcane-schooling--102/,,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
Arcane Strike,/feats/complete-warrior--61/arcane-strike--103/,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
Arcane Thesis,/feats/players-handbook-ii--80/arcane-thesis--104/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Arcane Toughness,/feats/players-handbook-ii--80/arcane-toughness--105/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Arcane Transfiguration,/feats/lost-empires-of-faerun--30/arcane-transfiguration--106/,Lost Empires of Faerun,/rulebooks/forgotten-realms-35--4/lost-empires-of-faerun--30/
Archivist of Nature,/feats/heroes-of-horror--70/archivist-of-nature--107/,Heroes of Horror,/rulebooks/supplementals-35--5/heroes-of-horror--70/
Arctic Adaptation,/feats/races-of-faerun--23/arctic-adaptation--108/,Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/
Arctic Priest,/feats/frostburn--68/arctic-priest--109/,Frostburn,/rulebooks/supplementals-35--5/frostburn--68/
Area Attack,/feats/savage-species--47/area-attack--110/,Savage Species,/rulebooks/supplementals-30--7/savage-species--47/
Armor of Scales ,/feats/dragon-magic--62/armor-of-scales--111/,Dragon Magic,/rulebooks/supplementals-35--5/dragon-magic--62/
Armor Proficiency (heavy),/feats/players-handbook-v35--6/armor-proficiency-heavy--113/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
Armor Proficiency (light),/feats/players-handbook-v35--6/armor-proficiency-light--115/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
Armor Proficiency (medium),/feats/players-handbook-v35--6/armor-proficiency-medium--117/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
Armor Skin,/feats/complete-warrior--61/armor-skin--118/,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
Armor Skin,/feats/epic-level-handbook--41/armor-skin--119/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
Armor Specialization,/feats/players-handbook-ii--80/armor-specialization--120/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Art of Fascination,/feats/oriental-adventures--96/art-fascination--3661/,Oriental Adventures,/rulebooks/oriental-adventures--8/oriental-adventures--96/
Arterial Strike,/feats/complete-warrior--61/arterial-strike--121/,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
Arterial Strike,/feats/song-and-silence-a-guidebook-to-bards-and-rogues--48/arterial-strike--122/,Song and Silence: A Guidebook to Bards and Rogues,/rulebooks/supplementals-30--7/song-and-silence-a-guidebook-to-bards-and-rogues--48/
Artist,/feats/forgotten-realms-campaign-setting--19/artist--123/,Forgotten Realms Campaign Setting,/rulebooks/forgotten-realms-30--6/forgotten-realms-campaign-setting--19/
Artist,/feats/players-guide-to-faerun--22/artist--124/,,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
Artist,/feats/oriental-adventures--96/artist--3662/,Oriental Adventures,/rulebooks/oriental-adventures--8/oriental-adventures--96/
Ascetic Hunter,/feats/complete-adventurer--54/ascetic-hunter--125/,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
Ascetic Knight,/feats/complete-adventurer--54/ascetic-knight--126/,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
Ascetic Mage,/feats/complete-adventurer--54/ascetic-mage--127/,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
Ascetic Psion,/feats/secrets-of-sarlona--14/ascetic-psion--128/,Secrets of Sarlona,/rulebooks/eberron-35--3/secrets-of-sarlona--14/
Ascetic Rogue,/feats/complete-adventurer--54/ascetic-rogue--129/,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
Ascetic Stalker,/feats/complete-scoundrel--60/ascetic-stalker--130/,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
Ashbound,/feats/eberron-campaign-setting--12/ashbound--131/,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
Ashbound Mark,/feats/dragonmarked--7/ashbound-mark--132/,Dragonmarked,/rulebooks/eberron-35--3/dragonmarked--7/
Assume Quirk,/feats/complete-scoundrel--60/assume-quirk--3276/,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
Assume Supernatural Ability,/feats/savage-species--47/assume-supernatural-ability--133/,Savage Species,/rulebooks/supplementals-30--7/savage-species--47/
Astral Tracking,/feats/dragon-compendium--109/astral-tracking--3333/,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
At Home In The Deep,/feats/drow-of-the-underdark--93/home-deep--3323/,Drow of the Underdark,/rulebooks/supplementals-35--5/drow-of-the-underdark--93/
Athletic,/feats/players-handbook-v35--6/athletic--134/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
Athletic,/feats/song-and-silence-a-guidebook-to-bards-and-rogues--48/athletic--135/,Song and Silence: A Guidebook to Bards and Rogues,/rulebooks/supplementals-30--7/song-and-silence-a-guidebook-to-bards-and-rogues--48/
Attention to Detail,/feats/oriental-adventures--96/attention-detail--3663/,Oriental Adventures,/rulebooks/oriental-adventures--8/oriental-adventures--96/
Attune Gem,/feats/magic-of-faerun--20/attune-gem--136/,Magic of Faerun,/rulebooks/forgotten-realms-30--6/magic-of-faerun--20/
Attune Magical Weapon,/feats/eberron-campaign-setting--12/attune-magical-weapon--137/,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
Augment Elemental,/feats/magic-of-eberron--9/augment-elemental--138/,Magic of Eberron,/rulebooks/eberron-35--3/magic-of-eberron--9/
Augment Healing,/feats/complete-divine--56/augment-healing--139/,Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/
Augment Summoning,/feats/magic-of-faerun--20/augment-summoning--140/,Magic of Faerun,/rulebooks/forgotten-realms-30--6/magic-of-faerun--20/
Augment Summoning,/feats/players-handbook-v35--6/augment-summoning--141/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
Augment Summoning,/feats/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/augment-summoning--142/,Tome and Blood: A Guidebook to Wizards and Sorcerers,/rulebooks/supplementals-30--7/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/
Augmented Alchemy,/feats/epic-level-handbook--41/augmented-alchemy--144/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
Augmented Alchemy,/feats/complete-adventurer--54/augmented-alchemy--3766/,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
Auspicious Marking,/feats/races-of-stone--82/auspicious-marking--145/,Races of Stone,/rulebooks/supplementals-35--5/races-of-stone--82/
Automatic Quicken Spell,/feats/complete-arcane--55/automatic-quicken-spell--146/,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
Automatic Quicken Spell,/feats/epic-level-handbook--41/automatic-quicken-spell--147/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
Automatic Silent Spell,/feats/complete-arcane--55/automatic-silent-spell--148/,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
Automatic Silent Spell,/feats/epic-level-handbook--41/automatic-silent-spell--149/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
Automatic Still Spell,/feats/complete-arcane--55/automatic-still-spell--150/,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
Automatic Still Spell,/feats/epic-level-handbook--41/automatic-still-spell--151/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
Autonomous,/feats/expanded-psionics-handbook--65/autonomous--152/,Expanded Psionics Handbook,/rulebooks/supplementals-35--5/expanded-psionics-handbook--65/
Avenging Strike,/feats/tome-of-battle-the-book-of-nine-swords--88/avenging-strike--153/,Tome of Battle: The Book of Nine Swords,/rulebooks/supplementals-35--5/tome-of-battle-the-book-of-nine-swords--88/
Awaken Frightful Presence,/feats/draconomicon--92/awaken-frightful-presence--3215/,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
Awaken Spell Resistance,/feats/draconomicon--92/awaken-spell-resistance--3216/,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
Awesome Blow,/feats/monster-manual-iv--77/awesome-blow--154/,Monster Manual IV,/rulebooks/supplementals-35--5/monster-manual-iv--77/
Awesome Blow,/feats/monster-manual-iii--76/awesome-blow--155/,Monster Manual III,/rulebooks/supplementals-35--5/monster-manual-iii--76/
Awesome Blow,/feats/monster-manual-v35--5/awesome-blow--156/,Monster Manual v.3.5,/rulebooks/core-35--1/monster-manual-v35--5/
Awesome Blow,/feats/monster-manual-v--78/awesome-blow--157/,Monster Manual V,/rulebooks/supplementals-35--5/monster-manual-v--78/
Awesome Smite,/feats/complete-champion--57/awesome-smite--158/,Complete Champion,/rulebooks/supplementals-35--5/complete-champion--57/
Axeshield,/feats/underdark--34/axeshield--159/,Underdark,/rulebooks/forgotten-realms-35--4/underdark--34/
Axespike,/feats/races-of-stone--82/axespike--160/,Races of Stone,/rulebooks/supplementals-35--5/races-of-stone--82/
Axethrower,/feats/players-guide-to-faerun--22/axethrower--161/,,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
Axiomatic Bloodline,/feats/dragon-compendium--109/axiomatic-bloodline--3334/,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
Axiomatic Heritage,/feats/planar-handbook--79/axiomatic-heritage--162/,Planar Handbook,/rulebooks/supplementals-35--5/planar-handbook--79/
Axiomatic Strike,/feats/complete-warrior--61/axiomatic-strike--163/,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
Axiomatic Strike,/feats/players-guide-to-faerun--22/axiomatic-strike--164/,,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
Azerblood,/feats/races-of-faerun--23/azerblood--165/,Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/
Azure Enmity,/feats/magic-of-incarnum--74/azure-enmity--166/,Magic of Incarnum,/rulebooks/supplementals-35--5/magic-of-incarnum--74/
Azure Talent,/feats/magic-of-incarnum--74/azure-talent--167/,Magic of Incarnum,/rulebooks/supplementals-35--5/magic-of-incarnum--74/
Azure Touch,/feats/magic-of-incarnum--74/azure-touch--168/,Magic of Incarnum,/rulebooks/supplementals-35--5/magic-of-incarnum--74/
Azure Toughness,/feats/magic-of-incarnum--74/azure-toughness--169/,Magic of Incarnum,/rulebooks/supplementals-35--5/magic-of-incarnum--74/
Azure Turning,/feats/magic-of-incarnum--74/azure-turning--170/,Magic of Incarnum,/rulebooks/supplementals-35--5/magic-of-incarnum--74/
Azure Wild Shape,/feats/magic-of-incarnum--74/azure-wild-shape--171/,Magic of Incarnum,/rulebooks/supplementals-35--5/magic-of-incarnum--74/
Back on Your Feet,/feats/complete-scoundrel--60/back-your-feet--3277/,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
Baleful Moan,/feats/libris-mortis-the-book-of-the-dead--71/baleful-moan--172/,Libris Mortis: The Book of the Dead,/rulebooks/supplementals-35--5/libris-mortis-the-book-of-the-dead--71/
