Book, link, edition, editionLink
Dragon Magic,/rulebooks/supplementals-35--5/dragon-magic--62/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Dragonlance Campaign Setting,/rulebooks/dragonlance--9/dragonlance-campaign-setting--98/,Dragonlance (3.5),/rulebooks/dragonlance--9/,
Dragonmarked,/rulebooks/eberron-35--3/dragonmarked--7/,Eberron (3.5),/rulebooks/eberron-35--3/,
Dragons of Ebberon,/rulebooks/eberron-35--3/dragons-ebberon--112/,Eberron (3.5),/rulebooks/eberron-35--3/,
Dragons of Faerun,/rulebooks/forgotten-realms-35--4/dragons-of-faerun--26/,Forgotten Realms (3.5),/rulebooks/forgotten-realms-35--4/,
Drow of the Underdark,/rulebooks/supplementals-35--5/drow-of-the-underdark--93/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Dungeon Master&#39;s Guide II,/rulebooks/supplementals-35--5/dungeon-masters-guide-ii--40/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Dungeon Master&#39;s Guide v.3.5,/rulebooks/core-35--1/dungeon-masters-guide-v35--4/,Core (3.5),/rulebooks/core-35--1/,
Dungeonscape,/rulebooks/supplementals-35--5/dungeonscape--63/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/,Eberron (3.5),/rulebooks/eberron-35--3/,
Elder Evils,/rulebooks/supplementals-35--5/elder-evils--110/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Enemies and Allies,/rulebooks/supplementals-30--7/enemies-and-allies--17/,Supplementals (3.0),/rulebooks/supplementals-30--7/,
Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/,Supplementals (3.0),/rulebooks/supplementals-30--7/,
Exemplars of Evil,/rulebooks/supplementals-35--5/exemplars-of-evil--64/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Expanded Psionics Handbook,/rulebooks/supplementals-35--5/expanded-psionics-handbook--65/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Expedition to Castle Ravenloft,/rulebooks/supplementals-35--5/expedition-to-castle-ravenloft--102/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Expedition to the Demonweb Pits,/rulebooks/supplementals-35--5/expedition-to-the-demonweb-pits--99/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Explorer&#39;s Handbook,/rulebooks/eberron-35--3/explorers-handbook--100/,Eberron (3.5),/rulebooks/eberron-35--3/,
Eyes of the Lich Queen,/rulebooks/eberron-35--3/eyes-lich-queen--113/,Eberron (3.5),/rulebooks/eberron-35--3/,
Faiths &amp; Pantheons,/rulebooks/forgotten-realms-30--6/faiths-pantheons--18/,Forgotten Realms (3.0),/rulebooks/forgotten-realms-30--6/,
Faiths of Eberron,/rulebooks/eberron-35--3/faiths-of-eberron--8/,Eberron (3.5),/rulebooks/eberron-35--3/,
Feats,/rulebooks/supplementals-30--7/feats--111/,Supplementals (3.0),/rulebooks/supplementals-30--7/,
Fiend Folio,/rulebooks/supplementals-30--7/fiend-folio--42/,Supplementals (3.0),/rulebooks/supplementals-30--7/,
Fiendish Codex I: Hordes of the Abyss,/rulebooks/supplementals-35--5/fiendish-codex-i-hordes-of-the-abyss--66/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Fiendish Codex II: Tyrants of the Nine Hells,/rulebooks/supplementals-35--5/fiendish-codex-ii-tyrants-of-the-nine-hells--67/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Five Nations,/rulebooks/eberron-35--3/five-nations--101/,Eberron (3.5),/rulebooks/eberron-35--3/,
Forgotten Realms Campaign Setting,/rulebooks/forgotten-realms-30--6/forgotten-realms-campaign-setting--19/,Forgotten Realms (3.0),/rulebooks/forgotten-realms-30--6/,
Frostburn,/rulebooks/supplementals-35--5/frostburn--68/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Ghostwalk,/rulebooks/supplementals-30--7/ghostwalk--94/,Supplementals (3.0),/rulebooks/supplementals-30--7/,
Heroes of Battle,/rulebooks/supplementals-35--5/heroes-of-battle--69/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Heroes of Horror,/rulebooks/supplementals-35--5/heroes-of-horror--70/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Libris Mortis: The Book of the Dead,/rulebooks/supplementals-35--5/libris-mortis-the-book-of-the-dead--71/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Lords of Darkness,/rulebooks/forgotten-realms-30--6/lords-of-darkness--95/,Forgotten Realms (3.0),/rulebooks/forgotten-realms-30--6/,
Lords of Madness,/rulebooks/supplementals-35--5/lords-of-madness--72/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Lost Empires of Faerun,/rulebooks/forgotten-realms-35--4/lost-empires-of-faerun--30/,Forgotten Realms (3.5),/rulebooks/forgotten-realms-35--4/,
Magic Item Compendium,/rulebooks/supplementals-35--5/magic-item-compendium--73/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Magic of Eberron,/rulebooks/eberron-35--3/magic-of-eberron--9/,Eberron (3.5),/rulebooks/eberron-35--3/,
Magic of Faerun,/rulebooks/forgotten-realms-30--6/magic-of-faerun--20/,Forgotten Realms (3.0),/rulebooks/forgotten-realms-30--6/,
Magic of Incarnum,/rulebooks/supplementals-35--5/magic-of-incarnum--74/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Manual of the Planes,/rulebooks/supplementals-30--7/manual-of-the-planes--43/,Supplementals (3.0),/rulebooks/supplementals-30--7/,
Masters of the Wild: A Guidebook to Barbarians Druids and Rangers,/rulebooks/supplementals-30--7/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/,Supplementals (3.0),/rulebooks/supplementals-30--7/,
Miniatures Handbook,/rulebooks/supplementals-35--5/miniatures-handbook--75/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Monster Manual,/rulebooks/core-35--1/monster-manual--107/,Core (3.5),/rulebooks/core-35--1/,
Monster Manual II,/rulebooks/supplementals-35--5/monster-manual-ii--45/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Monster Manual III,/rulebooks/supplementals-35--5/monster-manual-iii--76/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Monster Manual IV,/rulebooks/supplementals-35--5/monster-manual-iv--77/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Monster Manual V,/rulebooks/supplementals-35--5/monster-manual-v--78/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Monster Manual v.3.5,/rulebooks/core-35--1/monster-manual-v35--5/,Core (3.5),/rulebooks/core-35--1/,
Oriental Adventures,/rulebooks/oriental-adventures--8/oriental-adventures--96/,Oriental Adventures (3.0),/rulebooks/oriental-adventures--8/,
Planar Handbook,/rulebooks/supplementals-35--5/planar-handbook--79/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Player&#39;s Guide to Eberron,/rulebooks/eberron-35--3/players-guide-to-eberron--13/,Eberron (3.5),/rulebooks/eberron-35--3/,
Player&#39;s Handbook 3.0,/rulebooks/core-30--10/players-handbook-30--106/,Core (3.0),/rulebooks/core-30--10/,
Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/,Core (3.5),/rulebooks/core-35--1/,
Power of Faerun,/rulebooks/forgotten-realms-35--4/power-of-faerun--31/,Forgotten Realms (3.5),/rulebooks/forgotten-realms-35--4/,
Psionics Handbook 3.0,/rulebooks/supplementals-30--7/psionics-handbook-30--46/,Supplementals (3.0),/rulebooks/supplementals-30--7/,
Races of Destiny,/rulebooks/supplementals-35--5/races-of-destiny--81/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Races of Eberron,/rulebooks/eberron-35--3/races-of-eberron--10/,Eberron (3.5),/rulebooks/eberron-35--3/,
Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/,Forgotten Realms (3.0),/rulebooks/forgotten-realms-30--6/,
Races of Stone,/rulebooks/supplementals-35--5/races-of-stone--82/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Races of the Dragon,/rulebooks/supplementals-35--5/races-of-the-dragon--83/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Races of the Wild,/rulebooks/supplementals-35--5/races-of-the-wild--84/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Red Hand of Doom,/rulebooks/supplementals-35--5/red-hand-doom--115/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Return to the Temple of Elemental Evil,/rulebooks/supplementals-30--7/return-to-the-temple-of-elemental-evil--103/,Supplementals (3.0),/rulebooks/supplementals-30--7/,
Sandstorm,/rulebooks/supplementals-35--5/sandstorm--85/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Savage Species,/rulebooks/supplementals-30--7/savage-species--47/,Supplementals (3.0),/rulebooks/supplementals-30--7/,
Secrets of Sarlona,/rulebooks/eberron-35--3/secrets-of-sarlona--14/,Eberron (3.5),/rulebooks/eberron-35--3/,
Secrets of Xen&#39;drik,/rulebooks/eberron-35--3/secrets-of-xendrik--15/,Eberron (3.5),/rulebooks/eberron-35--3/,
Serpent Kingdoms,/rulebooks/forgotten-realms-35--4/serpent-kingdoms--24/,Forgotten Realms (3.5),/rulebooks/forgotten-realms-35--4/,
Shadowdale: The Scouring of the Land,/rulebooks/forgotten-realms-35--4/shadowdale-scouring-land--114/,Forgotten Realms (3.5),/rulebooks/forgotten-realms-35--4/,
Sharn: City of Towers,/rulebooks/eberron-35--3/sharn-city-of-towers--11/,Eberron (3.5),/rulebooks/eberron-35--3/,
Shining South,/rulebooks/forgotten-realms-35--4/shining-south--25/,Forgotten Realms (3.5),/rulebooks/forgotten-realms-35--4/,
Silver Marches,/rulebooks/forgotten-realms-30--6/silver-marches--97/,Forgotten Realms (3.0),/rulebooks/forgotten-realms-30--6/,
Song and Silence: A Guidebook to Bards and Rogues,/rulebooks/supplementals-30--7/song-and-silence-a-guidebook-to-bards-and-rogues--48/,Supplementals (3.0),/rulebooks/supplementals-30--7/,
Spell Compendium,/rulebooks/supplementals-35--5/spell-compendium--86/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Stormwrack,/rulebooks/supplementals-35--5/stormwrack--87/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Stronghold Builder&#39;s Guidebook,/rulebooks/supplementals-30--7/stronghold-builders-guidebook--49/,Supplementals (3.0),/rulebooks/supplementals-30--7/,
Sword and Fist: A Guidebook to Monks and Fighters,/rulebooks/supplementals-30--7/sword-and-fist-a-guidebook-to-monks-and-fighters--50/,Supplementals (3.0),/rulebooks/supplementals-30--7/,
The Forge of War,/rulebooks/eberron-35--3/forge-war--105/,Eberron (3.5),/rulebooks/eberron-35--3/,
The Shattered Gates of Slaughtergarde,/rulebooks/supplementals-35--5/the-shattered-gates-of-slaughtergarde--104/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Tome and Blood: A Guidebook to Wizards and Sorcerers,/rulebooks/supplementals-30--7/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/,Supplementals (3.0),/rulebooks/supplementals-30--7/,
Tome of Battle: The Book of Nine Swords,/rulebooks/supplementals-35--5/tome-of-battle-the-book-of-nine-swords--88/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Tome of Magic,/rulebooks/supplementals-35--5/tome-of-magic--89/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Unapproachable East,/rulebooks/forgotten-realms-30--6/unapproachable-east--33/,Forgotten Realms (3.0),/rulebooks/forgotten-realms-30--6/,
Underdark,/rulebooks/forgotten-realms-35--4/underdark--34/,Forgotten Realms (3.5),/rulebooks/forgotten-realms-35--4/,
Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Weapons of Legacy,/rulebooks/supplementals-35--5/weapons-of-legacy--91/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Web,/rulebooks/core-35--1/web--108/,Core (3.5),/rulebooks/core-35--1/,
