id,name,link,book,bookLink
35,Adamantine Body,/feats/eberron-campaign-setting--12/adamantine-body--32/,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
36,Adamantine Body,/feats/monster-manual-iii--76/adamantine-body--33/,Monster Manual III,/rulebooks/supplementals-35--5/monster-manual-iii--76/
37,Adamantine Body,/feats/races-of-eberron--10/adamantine-body--34/,Races of Eberron,/rulebooks/eberron-35--3/races-of-eberron--10/
38,Adaptable Flanker,/feats/players-handbook-ii--80/adaptable-flanker--35/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
39,Adaptive Style,/feats/tome-of-battle-the-book-of-nine-swords--88/adaptive-style--36/,Tome of Battle: The Book of Nine Swords,/rulebooks/supplementals-35--5/tome-of-battle-the-book-of-nine-swords--88/
40,Additional Favored Class,/feats/unearthed-arcana--90/additional-favored-class--37/,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
41,Additional Magic Item Space,/feats/epic-level-handbook--41/additional-magic-item-space--38/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
42,Adroit Flyby Attack,/feats/draconomicon--92/adroit-flyby-attack--3214/,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
43,Advantageous Avoidance ,/feats/complete-scoundrel--60/advantageous-avoidance--39/,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
44,Aerenal Arcanist,/feats/players-guide-to-eberron--13/aerenal-arcanist--40/,Player&#39;s Guide to Eberron,/rulebooks/eberron-35--3/players-guide-to-eberron--13/
45,Aerenal Beastmaster,/feats/races-of-eberron--10/aerenal-beastmaster--41/,Races of Eberron,/rulebooks/eberron-35--3/races-of-eberron--10/
46,Aerenal Half-Life,/feats/players-guide-to-eberron--13/aerenal-half-life--42/,Player&#39;s Guide to Eberron,/rulebooks/eberron-35--3/players-guide-to-eberron--13/
47,Aereni Focus,/feats/players-guide-to-eberron--13/aereni-focus--43/,Player&#39;s Guide to Eberron,/rulebooks/eberron-35--3/players-guide-to-eberron--13/
48,Aerial Reflexes,/feats/races-of-the-wild--84/aerial-reflexes--44/,Races of the Wild,/rulebooks/supplementals-35--5/races-of-the-wild--84/
49,Aerial Superiority,/feats/races-of-the-wild--84/aerial-superiority--45/,Races of the Wild,/rulebooks/supplementals-35--5/races-of-the-wild--84/
50,Aftersight,/feats/races-of-faerun--23/aftersight--46/,Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/
51,Aggressive,/feats/unearthed-arcana--90/aggressive--47/,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
52,Aggressive Mind,/feats/complete-psionic--59/aggressive-mind--48/,Complete Psionic,/rulebooks/supplementals-35--5/complete-psionic--59/
53,Agile,/feats/players-handbook-v35--6/agile--49/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
54,Agile Athlete,/feats/races-of-the-wild--84/agile-athlete--50/,Races of the Wild,/rulebooks/supplementals-35--5/races-of-the-wild--84/
55,Agile Shield Fighter,/feats/players-handbook-ii--80/agile-shield-fighter--51/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
56,Agile Tyrant,/feats/lords-of-madness--72/agile-tyrant--52/,Lords of Madness,/rulebooks/supplementals-35--5/lords-of-madness--72/
57,Agony Touch,/feats/ghostwalk--94/agony-touch--3470/,Ghostwalk,/rulebooks/supplementals-30--7/ghostwalk--94/
58,Air Bloodline,/feats/dragon-compendium--109/air-bloodline--3331/,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
59,Air Devotion,/feats/complete-champion--57/air-devotion--53/,Complete Champion,/rulebooks/supplementals-35--5/complete-champion--57/
60,Air Heritage,/feats/planar-handbook--79/air-heritage--54/,Planar Handbook,/rulebooks/supplementals-35--5/planar-handbook--79/
61,Alacritous Cogitation ,/feats/complete-mage--58/alacritous-cogitation--55/,Complete Mage,/rulebooks/supplementals-35--5/complete-mage--58/
62,Alertness,/feats/players-handbook-v35--6/alertness--56/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
63,Aleval School,/feats/drow-of-the-underdark--93/aleval-school--3456/,Drow of the Underdark,/rulebooks/supplementals-35--5/drow-of-the-underdark--93/
64,Aligned Attack,/feats/expanded-psionics-handbook--65/aligned-attack--61/,Expanded Psionics Handbook,/rulebooks/supplementals-35--5/expanded-psionics-handbook--65/
65,Allied Defense,/feats/shining-south--25/allied-defense--62/,Shining South,/rulebooks/forgotten-realms-35--4/shining-south--25/
66,Alluring,/feats/song-and-silence-a-guidebook-to-bards-and-rogues--48/alluring--63/,Song and Silence: A Guidebook to Bards and Rogues,/rulebooks/supplementals-30--7/song-and-silence-a-guidebook-to-bards-and-rogues--48/
67,Alternate Form,/feats/dragons-ebberon--112/alternate-form--3585/,Dragons of Ebberon,/rulebooks/eberron-35--3/dragons-ebberon--112/
68,Altitude Adaptation,/feats/frostburn--68/altitude-adaptation--64/,Frostburn,/rulebooks/supplementals-35--5/frostburn--68/
69,Altitude Adaptation,/feats/secrets-of-sarlona--14/altitude-adaptation--65/,Secrets of Sarlona,/rulebooks/eberron-35--3/secrets-of-sarlona--14/
70,Ambidexterity,/feats/players-handbook-30--106/ambidexterity--3321/,Player&#39;s Handbook 3.0,/rulebooks/core-30--10/players-handbook-30--106/
71,Anarchic Bloodline,/feats/dragon-compendium--109/anarchic-bloodline--3332/,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
72,Anarchic Heritage,/feats/planar-handbook--79/anarchic-heritage--67/,Planar Handbook,/rulebooks/supplementals-35--5/planar-handbook--79/
73,Ancestral Guidance,/feats/races-of-eberron--10/ancestral-guidance--68/,Races of Eberron,/rulebooks/eberron-35--3/races-of-eberron--10/
74,Ancestral Knowledge,/feats/races-of-stone--82/ancestral-knowledge--69/,Races of Stone,/rulebooks/supplementals-35--5/races-of-stone--82/
75,Ancestral Relic,/feats/book-of-exalted-deeds--52/ancestral-relic--70/,Book of Exalted Deeds,/rulebooks/supplementals-35--5/book-of-exalted-deeds--52/
76,Ancestral Spirit,/feats/races-of-faerun--23/ancestral-spirit--71/,Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/
77,Ancestral Whispers,/feats/faiths-of-eberron--8/ancestral-whispers--72/,Faiths of Eberron,/rulebooks/eberron-35--3/faiths-of-eberron--8/
78,Animal Affinity,/feats/players-handbook-v35--6/animal-affinity--3197/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
79,Animal Control,/feats/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/animal-control--74/,Masters of the Wild: A Guidebook to Barbarians Druids and Rangers,/rulebooks/supplementals-30--7/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/
80,Animal Defiance,/feats/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/animal-defiance--75/,Masters of the Wild: A Guidebook to Barbarians Druids and Rangers,/rulebooks/supplementals-30--7/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/
81,Animal Devotion,/feats/complete-champion--57/animal-devotion--76/,Complete Champion,/rulebooks/supplementals-35--5/complete-champion--57/
82,Animal Friend,/feats/book-of-exalted-deeds--52/animal-friend--77/,Book of Exalted Deeds,/rulebooks/supplementals-35--5/book-of-exalted-deeds--52/
83,Animal Friends,/feats/races-of-faerun--23/animal-friends--78/,Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/
84,Ankheg Tribe Ambush,/feats/shining-south--25/ankheg-tribe-ambush--79/,Shining South,/rulebooks/forgotten-realms-35--4/shining-south--25/
85,Antagonist,/feats/complete-psionic--59/antagonist--80/,Complete Psionic,/rulebooks/supplementals-35--5/complete-psionic--59/
86,Antipsionic Magic,/feats/expanded-psionics-handbook--65/antipsionic-magic--81/,Expanded Psionics Handbook,/rulebooks/supplementals-35--5/expanded-psionics-handbook--65/
87,Anvil of Thunder,/feats/complete-warrior--61/anvil-of-thunder--82/,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
88,Apostate,/feats/elder-evils--110/apostate--3506/,Elder Evils,/rulebooks/supplementals-35--5/elder-evils--110/
89,Appraise Magic Value,/feats/complete-adventurer--54/appraise-magic-value--83/,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
90,Apprentice,/feats/dungeon-masters-guide-ii--40/apprentice--3265/,Dungeon Master&#39;s Guide II,/rulebooks/supplementals-35--5/dungeon-masters-guide-ii--40/
91,Aquatic Breath,/feats/complete-mage--58/aquatic-breath--84/,Complete Mage,/rulebooks/supplementals-35--5/complete-mage--58/
92,Aquatic Shot,/feats/stormwrack--87/aquatic-shot--85/,Stormwrack,/rulebooks/supplementals-35--5/stormwrack--87/
93,Aquatic Spellcasting,/feats/lords-of-madness--72/aquatic-spellcasting--86/,Lords of Madness,/rulebooks/supplementals-35--5/lords-of-madness--72/
94,Arachnid Rider,/feats/races-of-faerun--23/arachnid-rider--87/,Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/
95,Arcane Accompaniment,/feats/players-handbook-ii--80/arcane-accompaniment--88/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
96,Arcane Consumption,/feats/players-handbook-ii--80/arcane-consumption--89/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
97,Arcane Defense,/feats/complete-arcane--55/arcane-defense--90/,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
98,Arcane Defense,/feats/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/arcane-defense--91/,Tome and Blood: A Guidebook to Wizards and Sorcerers,/rulebooks/supplementals-30--7/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/
99,Arcane Disciple,/feats/complete-divine--56/arcane-disciple--92/,Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/
100,Arcane Flourish,/feats/players-handbook-ii--80/arcane-flourish--93/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
101,Arcane Insight,/feats/races-of-destiny--81/arcane-insight--94/,Races of Destiny,/rulebooks/supplementals-35--5/races-of-destiny--81/
102,Arcane Manipulation,/feats/lost-empires-of-faerun--30/arcane-manipulation--95/,Lost Empires of Faerun,/rulebooks/forgotten-realms-35--4/lost-empires-of-faerun--30/
103,Arcane mastery,/feats/complete-arcane--55/arcane-mastery--96/,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
104,Arcane Preparation,/feats/complete-arcane--55/arcane-preparation--97/,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
105,Arcane Preparation,/feats/forgotten-realms-campaign-setting--19/arcane-preparation--98/,Forgotten Realms Campaign Setting,/rulebooks/forgotten-realms-30--6/forgotten-realms-campaign-setting--19/
106,Arcane Preparation,/feats/players-guide-to-faerun--22/arcane-preparation--99/,,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
107,Arcane Preparation,/feats/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/arcane-preparation--100/,Tome and Blood: A Guidebook to Wizards and Sorcerers,/rulebooks/supplementals-30--7/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/
108,Arcane Schooling,/feats/forgotten-realms-campaign-setting--19/arcane-schooling--101/,Forgotten Realms Campaign Setting,/rulebooks/forgotten-realms-30--6/forgotten-realms-campaign-setting--19/
109,Arcane Schooling,/feats/players-guide-to-faerun--22/arcane-schooling--102/,,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
110,Arcane Strike,/feats/complete-warrior--61/arcane-strike--103/,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
111,Arcane Thesis,/feats/players-handbook-ii--80/arcane-thesis--104/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
112,Arcane Toughness,/feats/players-handbook-ii--80/arcane-toughness--105/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
113,Arcane Transfiguration,/feats/lost-empires-of-faerun--30/arcane-transfiguration--106/,Lost Empires of Faerun,/rulebooks/forgotten-realms-35--4/lost-empires-of-faerun--30/
114,Archivist of Nature,/feats/heroes-of-horror--70/archivist-of-nature--107/,Heroes of Horror,/rulebooks/supplementals-35--5/heroes-of-horror--70/
115,Arctic Adaptation,/feats/races-of-faerun--23/arctic-adaptation--108/,Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/
116,Arctic Priest,/feats/frostburn--68/arctic-priest--109/,Frostburn,/rulebooks/supplementals-35--5/frostburn--68/
117,Area Attack,/feats/savage-species--47/area-attack--110/,Savage Species,/rulebooks/supplementals-30--7/savage-species--47/
118,Armor of Scales ,/feats/dragon-magic--62/armor-of-scales--111/,Dragon Magic,/rulebooks/supplementals-35--5/dragon-magic--62/
119,Armor Proficiency (heavy),/feats/players-handbook-v35--6/armor-proficiency-heavy--113/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
120,Armor Proficiency (light),/feats/players-handbook-v35--6/armor-proficiency-light--115/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
121,Armor Proficiency (medium),/feats/players-handbook-v35--6/armor-proficiency-medium--117/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
122,Armor Skin,/feats/complete-warrior--61/armor-skin--118/,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
123,Armor Skin,/feats/epic-level-handbook--41/armor-skin--119/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
124,Armor Specialization,/feats/players-handbook-ii--80/armor-specialization--120/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
125,Art of Fascination,/feats/oriental-adventures--96/art-fascination--3661/,Oriental Adventures,/rulebooks/oriental-adventures--8/oriental-adventures--96/
126,Arterial Strike,/feats/complete-warrior--61/arterial-strike--121/,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
127,Arterial Strike,/feats/song-and-silence-a-guidebook-to-bards-and-rogues--48/arterial-strike--122/,Song and Silence: A Guidebook to Bards and Rogues,/rulebooks/supplementals-30--7/song-and-silence-a-guidebook-to-bards-and-rogues--48/
128,Artist,/feats/forgotten-realms-campaign-setting--19/artist--123/,Forgotten Realms Campaign Setting,/rulebooks/forgotten-realms-30--6/forgotten-realms-campaign-setting--19/
129,Artist,/feats/players-guide-to-faerun--22/artist--124/,,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
130,Artist,/feats/oriental-adventures--96/artist--3662/,Oriental Adventures,/rulebooks/oriental-adventures--8/oriental-adventures--96/
131,Ascetic Hunter,/feats/complete-adventurer--54/ascetic-hunter--125/,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
132,Ascetic Knight,/feats/complete-adventurer--54/ascetic-knight--126/,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
133,Ascetic Mage,/feats/complete-adventurer--54/ascetic-mage--127/,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
134,Ascetic Psion,/feats/secrets-of-sarlona--14/ascetic-psion--128/,Secrets of Sarlona,/rulebooks/eberron-35--3/secrets-of-sarlona--14/
135,Ascetic Rogue,/feats/complete-adventurer--54/ascetic-rogue--129/,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
136,Ascetic Stalker,/feats/complete-scoundrel--60/ascetic-stalker--130/,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
137,Ashbound,/feats/eberron-campaign-setting--12/ashbound--131/,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
138,Ashbound Mark,/feats/dragonmarked--7/ashbound-mark--132/,Dragonmarked,/rulebooks/eberron-35--3/dragonmarked--7/
139,Assume Quirk,/feats/complete-scoundrel--60/assume-quirk--3276/,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
140,Assume Supernatural Ability,/feats/savage-species--47/assume-supernatural-ability--133/,Savage Species,/rulebooks/supplementals-30--7/savage-species--47/
141,Astral Tracking,/feats/dragon-compendium--109/astral-tracking--3333/,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
142,At Home In The Deep,/feats/drow-of-the-underdark--93/home-deep--3323/,Drow of the Underdark,/rulebooks/supplementals-35--5/drow-of-the-underdark--93/
143,Athletic,/feats/players-handbook-v35--6/athletic--134/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
144,Athletic,/feats/song-and-silence-a-guidebook-to-bards-and-rogues--48/athletic--135/,Song and Silence: A Guidebook to Bards and Rogues,/rulebooks/supplementals-30--7/song-and-silence-a-guidebook-to-bards-and-rogues--48/
145,Attention to Detail,/feats/oriental-adventures--96/attention-detail--3663/,Oriental Adventures,/rulebooks/oriental-adventures--8/oriental-adventures--96/
146,Attune Gem,/feats/magic-of-faerun--20/attune-gem--136/,Magic of Faerun,/rulebooks/forgotten-realms-30--6/magic-of-faerun--20/
147,Attune Magical Weapon,/feats/eberron-campaign-setting--12/attune-magical-weapon--137/,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
148,Augment Elemental,/feats/magic-of-eberron--9/augment-elemental--138/,Magic of Eberron,/rulebooks/eberron-35--3/magic-of-eberron--9/
149,Augment Healing,/feats/complete-divine--56/augment-healing--139/,Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/
150,Augment Summoning,/feats/magic-of-faerun--20/augment-summoning--140/,Magic of Faerun,/rulebooks/forgotten-realms-30--6/magic-of-faerun--20/
151,Augment Summoning,/feats/players-handbook-v35--6/augment-summoning--141/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
152,Augment Summoning,/feats/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/augment-summoning--142/,Tome and Blood: A Guidebook to Wizards and Sorcerers,/rulebooks/supplementals-30--7/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/
153,Augmented Alchemy,/feats/epic-level-handbook--41/augmented-alchemy--144/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
154,Augmented Alchemy,/feats/complete-adventurer--54/augmented-alchemy--3766/,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
155,Auspicious Marking,/feats/races-of-stone--82/auspicious-marking--145/,Races of Stone,/rulebooks/supplementals-35--5/races-of-stone--82/
156,Automatic Quicken Spell,/feats/complete-arcane--55/automatic-quicken-spell--146/,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
157,Automatic Quicken Spell,/feats/epic-level-handbook--41/automatic-quicken-spell--147/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
158,Automatic Silent Spell,/feats/complete-arcane--55/automatic-silent-spell--148/,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
159,Automatic Silent Spell,/feats/epic-level-handbook--41/automatic-silent-spell--149/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
160,Automatic Still Spell,/feats/complete-arcane--55/automatic-still-spell--150/,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
161,Automatic Still Spell,/feats/epic-level-handbook--41/automatic-still-spell--151/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
162,Autonomous,/feats/expanded-psionics-handbook--65/autonomous--152/,Expanded Psionics Handbook,/rulebooks/supplementals-35--5/expanded-psionics-handbook--65/
163,Avenging Strike,/feats/tome-of-battle-the-book-of-nine-swords--88/avenging-strike--153/,Tome of Battle: The Book of Nine Swords,/rulebooks/supplementals-35--5/tome-of-battle-the-book-of-nine-swords--88/
164,Awaken Frightful Presence,/feats/draconomicon--92/awaken-frightful-presence--3215/,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
165,Awaken Spell Resistance,/feats/draconomicon--92/awaken-spell-resistance--3216/,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
166,Awesome Blow,/feats/monster-manual-iv--77/awesome-blow--154/,Monster Manual IV,/rulebooks/supplementals-35--5/monster-manual-iv--77/
167,Awesome Blow,/feats/monster-manual-iii--76/awesome-blow--155/,Monster Manual III,/rulebooks/supplementals-35--5/monster-manual-iii--76/
168,Awesome Blow,/feats/monster-manual-v35--5/awesome-blow--156/,Monster Manual v.3.5,/rulebooks/core-35--1/monster-manual-v35--5/
169,Awesome Blow,/feats/monster-manual-v--78/awesome-blow--157/,Monster Manual V,/rulebooks/supplementals-35--5/monster-manual-v--78/
170,Awesome Smite,/feats/complete-champion--57/awesome-smite--158/,Complete Champion,/rulebooks/supplementals-35--5/complete-champion--57/
171,Axeshield,/feats/underdark--34/axeshield--159/,Underdark,/rulebooks/forgotten-realms-35--4/underdark--34/
172,Axespike,/feats/races-of-stone--82/axespike--160/,Races of Stone,/rulebooks/supplementals-35--5/races-of-stone--82/
173,Axethrower,/feats/players-guide-to-faerun--22/axethrower--161/,,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
174,Axiomatic Bloodline,/feats/dragon-compendium--109/axiomatic-bloodline--3334/,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
175,Axiomatic Heritage,/feats/planar-handbook--79/axiomatic-heritage--162/,Planar Handbook,/rulebooks/supplementals-35--5/planar-handbook--79/
176,Axiomatic Strike,/feats/complete-warrior--61/axiomatic-strike--163/,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
177,Axiomatic Strike,/feats/players-guide-to-faerun--22/axiomatic-strike--164/,,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
178,Azerblood,/feats/races-of-faerun--23/azerblood--165/,Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/
179,Azure Enmity,/feats/magic-of-incarnum--74/azure-enmity--166/,Magic of Incarnum,/rulebooks/supplementals-35--5/magic-of-incarnum--74/
180,Azure Talent,/feats/magic-of-incarnum--74/azure-talent--167/,Magic of Incarnum,/rulebooks/supplementals-35--5/magic-of-incarnum--74/
181,Azure Touch,/feats/magic-of-incarnum--74/azure-touch--168/,Magic of Incarnum,/rulebooks/supplementals-35--5/magic-of-incarnum--74/
