id,name,link,isPrestige,book,bookLink
50,Barbarian,/classes/forgotten-realms-campaign-setting--19/barbarian/,false,Forgotten Realms Campaign Setting,/rulebooks/forgotten-realms-30--6/forgotten-realms-campaign-setting--19/
51,Barbarian,/classes/players-handbook-v35--6/barbarian/,false,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
52,Barbarian,/classes/sandstorm--85/barbarian/,false,Sandstorm,/rulebooks/supplementals-35--5/sandstorm--85/
53,Barbarian Variant,/classes/unearthed-arcana--90/barbarian-variant/,false,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
54,Bard,/classes/eberron-campaign-setting--12/bard/,false,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
55,Bard,/classes/forgotten-realms-campaign-setting--19/bard/,false,Forgotten Realms Campaign Setting,/rulebooks/forgotten-realms-30--6/forgotten-realms-campaign-setting--19/
56,Bard,/classes/players-handbook-v35--6/bard/,false,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
57,Bard Variant,/classes/unearthed-arcana--90/bard-variant/,false,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
58,Bardic Sage,/classes/unearthed-arcana--90/bardic-sage/,false,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
59,Battle Dancer,/classes/dragon-compendium--109/battle-dancer/,false,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
60,Battle Maiden,/classes/oriental-adventures--96/battle-maiden/,true,Oriental Adventures,/rulebooks/oriental-adventures--8/oriental-adventures--96/
61,Battle Scion,/classes/unearthed-arcana--90/battle-scion/,true,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
62,Battle Sorcerer,/classes/unearthed-arcana--90/battle-sorcerer/,false,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
63,Battle Trickster,/classes/complete-scoundrel--60/battle-trickster/,true,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
64,Battlerager,/classes/races-of-faerun--23/battlerager/,true,Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/
65,Battlesmith,/classes/races-of-stone--82/battlesmith/,true,Races of Stone,/rulebooks/supplementals-35--5/races-of-stone--82/
66,Bayushi Deceiver,/classes/oriental-adventures--96/bayushi-deceiver/,true,Oriental Adventures,/rulebooks/oriental-adventures--8/oriental-adventures--96/
67,Bear Warrior,/classes/complete-warrior--61/bear-warrior/,true,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
68,Bear Warrior,/classes/oriental-adventures--96/bear-warrior/,true,Oriental Adventures,/rulebooks/oriental-adventures--8/oriental-adventures--96/
69,Beast Heart Adept,/classes/dungeonscape--63/beast-heart-adept/,true,Dungeonscape,/rulebooks/supplementals-35--5/dungeonscape--63/
70,Beastmaster,/classes/complete-adventurer--54/beastmaster/,true,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
71,Beguiler,/classes/players-handbook-ii--80/beguiler/,false,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
72,Beholder Mage,/classes/lords-of-madness--72/beholder-mage/,true,Lords of Madness,/rulebooks/supplementals-35--5/lords-of-madness--72/
73,Beholder Mage,/classes/monster-compendium-monsters-of-faerun--21/beholder-mage/,true,/rulebooks/forgotten-realms-30--6/monster-compendium-monsters-of-faerun--21/
74,Beloved of Valarian,/classes/book-of-exalted-deeds--52/beloved-of-valarian/,true,Book of Exalted Deeds,/rulebooks/supplementals-35--5/book-of-exalted-deeds--52/
75,Bereft,/classes/tome-of-magic--89/bereft/,true,Tome of Magic,/rulebooks/supplementals-35--5/tome-of-magic--89/
76,Berronar Valkyrie (Paladin),/classes/champions-of-valor--28/berronar-valkyrie-paladin/,false,Champions of Valor,/rulebooks/forgotten-realms-35--4/champions-of-valor--28/
77,Berserk,/classes/deities-and-demigods--39/berserk/,true,Deities and Demigods,/rulebooks/supplementals-30--7/deities-and-demigods--39/
78,Binder,/classes/tome-of-magic--89/binder/,false,Tome of Magic,/rulebooks/supplementals-35--5/tome-of-magic--89/
79,Black Blood Cultist,/classes/champions-of-ruin--27/black-blood-cultist/,true,Champions of Ruin,/rulebooks/forgotten-realms-35--4/champions-of-ruin--27/
80,Black Blood Hunter,/classes/players-guide-to-faerun--22/black-blood-hunter/,true,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
81,Black Dog,/classes/dragonmarked--7/black-dog/,true,Dragonmarked,/rulebooks/eberron-35--3/dragonmarked--7/
82,Black Flame Zealot,/classes/complete-divine--56/black-flame-zealot/,true,Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/
83,Black Flame Zealot,/classes/unapproachable-east--33/black-flame-zealot/,true,Unapproachable East,/rulebooks/forgotten-realms-30--6/unapproachable-east--33/
84,Blackguard,/classes/dungeon-masters-guide-v35--4/blackguard/,true,Dungeon Master&#39;s Guide v.3.5,/rulebooks/core-35--1/dungeon-masters-guide-v35--4/
85,Blade Bravo,/classes/races-of-stone--82/blade-bravo/,true,Races of Stone,/rulebooks/supplementals-35--5/races-of-stone--82/
86,Blade Dancer,/classes/oriental-adventures--96/blade-dancer/,true,Oriental Adventures,/rulebooks/oriental-adventures--8/oriental-adventures--96/
87,Blade of Orien,/classes/dragonmarked--7/blade-of-orien/,true,Dragonmarked,/rulebooks/eberron-35--3/dragonmarked--7/
88,Bladesinger,/classes/complete-warrior--61/bladesinger/,true,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
89,Bladesinger,/classes/races-of-faerun--23/bladesinger/,true,Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/
90,Bladesinger,/classes/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/bladesinger/,true,Tome and Blood: A Guidebook to Wizards and Sorcerers,/rulebooks/supplementals-30--7/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/
91,Blessed of Gruumsh,/classes/dragon-compendium--109/blessed-gruumsh/,true,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
92,Blighter,/classes/complete-divine--56/blighter/,true,Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/
93,Blighter,/classes/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/blighter/,true,Masters of the Wild: A Guidebook to Barbarians Druids and Rangers,/rulebooks/supplementals-30--7/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/
94,Blood Magus,/classes/complete-arcane--55/blood-magus/,true,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
95,Blood Magus,/classes/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/blood-magus/,true,Tome and Blood: A Guidebook to Wizards and Sorcerers,/rulebooks/supplementals-30--7/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/
96,Bloodclaw Master,/classes/tome-of-battle-the-book-of-nine-swords--88/bloodclaw-master/,true,Tome of Battle: The Book of Nine Swords,/rulebooks/supplementals-35--5/tome-of-battle-the-book-of-nine-swords--88/
97,Bloodhound,/classes/complete-adventurer--54/bloodhound/,true,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
98,Bloodhound,/classes/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/bloodhound/,true,Masters of the Wild: A Guidebook to Barbarians Druids and Rangers,/rulebooks/supplementals-30--7/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/
99,Bloodscaled Fury,/classes/draconomicon--92/bloodscaled-fury/,true,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
100,Bloodstorm Blade,/classes/tome-of-battle-the-book-of-nine-swords--88/bloodstorm-blade/,true,Tome of Battle: The Book of Nine Swords,/rulebooks/supplementals-35--5/tome-of-battle-the-book-of-nine-swords--88/
101,Bonded Summoner,/classes/miniatures-handbook--75/bonded-summoner/,true,Miniatures Handbook,/rulebooks/supplementals-35--5/miniatures-handbook--75/
102,Bone Collector,/classes/ghostwalk--94/bone-collector/,true,Ghostwalk,/rulebooks/supplementals-30--7/ghostwalk--94/
103,Bone Knight,/classes/five-nations--101/bone-knight/,true,Five Nations,/rulebooks/eberron-35--3/five-nations--101/
104,Breachgnome,/classes/races-of-faerun--23/breachgnome/,true,Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/
105,Brimstone Speaker,/classes/tome-of-magic--89/brimstone-speaker/,true,Tome of Magic,/rulebooks/supplementals-35--5/tome-of-magic--89/
106,Broken One (Monk),/classes/champions-of-valor--28/broken-one-monk/,false,Champions of Valor,/rulebooks/forgotten-realms-35--4/champions-of-valor--28/
107,Cabinet Trickster,/classes/races-of-eberron--10/cabinet-trickster/,true,Races of Eberron,/rulebooks/eberron-35--3/races-of-eberron--10/
108,Cancer Mage,/classes/book-of-vile-darkness--37/cancer-mage/,true,Book of Vile Darkness,/rulebooks/supplementals-30--7/book-of-vile-darkness--37/
109,Candle Caster,/classes/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/candle-caster/,true,Tome and Blood: A Guidebook to Wizards and Sorcerers,/rulebooks/supplementals-30--7/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/
110,Cannith Wand Adept,/classes/sharn-city-of-towers--11/cannith-wand-adept/,true,Sharn: City of Towers,/rulebooks/eberron-35--3/sharn-city-of-towers--11/
111,Cataclysm Mage,/classes/explorers-handbook--100/cataclysm-mage/,true,Explorer&#39;s Handbook,/rulebooks/eberron-35--3/explorers-handbook--100/
112,Cavalier,/classes/complete-warrior--61/cavalier/,true,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
113,Cavalier,/classes/sword-and-fist-a-guidebook-to-monks-and-fighters--50/cavalier/,true,Sword and Fist: A Guidebook to Monks and Fighters,/rulebooks/supplementals-30--7/sword-and-fist-a-guidebook-to-monks-and-fighters--50/
114,Cavelord,/classes/underdark--34/cavelord/,true,Underdark,/rulebooks/forgotten-realms-35--4/underdark--34/
115,Cavestalker,/classes/drow-of-the-underdark--93/cavestalker/,true,Drow of the Underdark,/rulebooks/supplementals-35--5/drow-of-the-underdark--93/
116,Celebrant of Sharess,/classes/players-guide-to-faerun--22/celebrant-of-sharess/,true,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
117,Celestial Mystic,/classes/book-of-exalted-deeds--52/celestial-mystic/,true,Book of Exalted Deeds,/rulebooks/supplementals-35--5/book-of-exalted-deeds--52/
118,Cerebremancer,/classes/expanded-psionics-handbook--65/cerebremancer/,true,Expanded Psionics Handbook,/rulebooks/supplementals-35--5/expanded-psionics-handbook--65/
119,Cerebrex,/classes/dragon-compendium--109/cerebrex/,true,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
120,Chameleon,/classes/races-of-destiny--81/chameleon/,true,Races of Destiny,/rulebooks/supplementals-35--5/races-of-destiny--81/
121,Champion of Corellon Larethian,/classes/races-of-the-wild--84/champion-of-corellon-larethian/,true,Races of the Wild,/rulebooks/supplementals-35--5/races-of-the-wild--84/
122,Champion of Gwynharwyf,/classes/book-of-exalted-deeds--52/champion-of-gwynharwyf/,true,Book of Exalted Deeds,/rulebooks/supplementals-35--5/book-of-exalted-deeds--52/
123,Chaotician,/classes/planar-handbook--79/chaotician/,true,Planar Handbook,/rulebooks/supplementals-35--5/planar-handbook--79/
124,Child of Night,/classes/tome-of-magic--89/child-of-night/,true,Tome of Magic,/rulebooks/supplementals-35--5/tome-of-magic--89/
125,Church Inquisitor,/classes/complete-divine--56/church-inquisitor/,true,Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/
126,Church Inquisitor,/classes/defenders-of-the-faith-a-guidebook-to-clerics-and-paladins--38/church-inquisitor/,true,Defenders of the Faith: A Guidebook to Clerics and Paladins,/rulebooks/supplementals-30--7/defenders-of-the-faith-a-guidebook-to-clerics-and-paladins--38/
127,Cipher Adept,/classes/planar-handbook--79/cipher-adept/,true,Planar Handbook,/rulebooks/supplementals-35--5/planar-handbook--79/
128,Citadel Elite,/classes/sharn-city-of-towers--11/citadel-elite/,true,Sharn: City of Towers,/rulebooks/eberron-35--3/sharn-city-of-towers--11/
129,Claw of the Sun and the Ankh (Paladin),/classes/champions-of-valor--28/claw-sun-and-ankh-paladin/,false,Champions of Valor,/rulebooks/forgotten-realms-35--4/champions-of-valor--28/
130,Cleric,/classes/eberron-campaign-setting--12/cleric/,false,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
131,Cleric,/classes/forgotten-realms-campaign-setting--19/cleric/,false,Forgotten Realms Campaign Setting,/rulebooks/forgotten-realms-30--6/forgotten-realms-campaign-setting--19/
132,Cleric,/classes/players-handbook-v35--6/cleric/,false,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
133,Cleric,/classes/sandstorm--85/cleric/,false,Sandstorm,/rulebooks/supplementals-35--5/sandstorm--85/
134,Cleric Variant,/classes/unearthed-arcana--90/cleric-variant/,false,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
135,Cloaked Dancer,/classes/complete-scoundrel--60/cloaked-dancer/,true,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
136,Cloistered Cleric,/classes/unearthed-arcana--90/cloistered-cleric/,false,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
137,Cloud Anchorite,/classes/frostburn--68/cloud-anchorite/,true,Frostburn,/rulebooks/supplementals-35--5/frostburn--68/
138,Cognition Thief,/classes/players-guide-to-faerun--22/cognition-thief/,true,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
139,Coiled Cabalist,/classes/serpent-kingdoms--24/coiled-cabalist/,true,Serpent Kingdoms,/rulebooks/forgotten-realms-35--4/serpent-kingdoms--24/
140,Combat Medic,/classes/heroes-of-battle--69/combat-medic/,true,Heroes of Battle,/rulebooks/supplementals-35--5/heroes-of-battle--69/
141,Combat Trapsmith,/classes/complete-scoundrel--60/combat-trapsmith/,true,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
142,Commoner,/classes/dragonlance-campaign-setting--98/commoner/,false,Dragonlance Campaign Setting,/rulebooks/dragonlance--9/dragonlance-campaign-setting--98/
143,Commoner,/classes/dungeon-masters-guide-v35--4/commoner/,false,Dungeon Master&#39;s Guide v.3.5,/rulebooks/core-35--1/dungeon-masters-guide-v35--4/
144,Conjurer Variant,/classes/unearthed-arcana--90/conjurer-variant/,false,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
145,Consecrated Harrier,/classes/complete-divine--56/consecrated-harrier/,true,Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/
146,Consecrated Harrier,/classes/defenders-of-the-faith-a-guidebook-to-clerics-and-paladins--38/consecrated-harrier/,true,Defenders of the Faith: A Guidebook to Clerics and Paladins,/rulebooks/supplementals-30--7/defenders-of-the-faith-a-guidebook-to-clerics-and-paladins--38/
147,Contemplative,/classes/complete-divine--56/contemplative/,true,Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/
148,Contemplative,/classes/defenders-of-the-faith-a-guidebook-to-clerics-and-paladins--38/contemplative/,true,Defenders of the Faith: A Guidebook to Clerics and Paladins,/rulebooks/supplementals-30--7/defenders-of-the-faith-a-guidebook-to-clerics-and-paladins--38/
149,Corrupt Avenger,/classes/heroes-of-horror--70/corrupt-avenger/,true,Heroes of Horror,/rulebooks/supplementals-35--5/heroes-of-horror--70/
150,Cosmic Descryer,/classes/epic-level-handbook--41/cosmic-descryer/,true,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
151,Court Herald,/classes/power-of-faerun--31/court-herald/,true,Power of Faerun,/rulebooks/forgotten-realms-35--4/power-of-faerun--31/
152,Cragtop Archer,/classes/races-of-stone--82/cragtop-archer/,true,Races of Stone,/rulebooks/supplementals-35--5/races-of-stone--82/
153,Crescent Moon Knight (Paladin),/classes/champions-of-valor--28/crescent-moon-knight-paladin/,false,Champions of Valor,/rulebooks/forgotten-realms-35--4/champions-of-valor--28/
154,Crimson Scourge,/classes/cityscape--53/crimson-scourge/,true,CityScape,/rulebooks/supplementals-35--5/cityscape--53/
155,Crinti Shadow Marauder,/classes/shining-south--25/crinti-shadow-marauder/,true,Shining South,/rulebooks/forgotten-realms-35--4/shining-south--25/
156,Crusader,/classes/tome-of-battle-the-book-of-nine-swords--88/crusader/,false,Tome of Battle: The Book of Nine Swords,/rulebooks/supplementals-35--5/tome-of-battle-the-book-of-nine-swords--88/
157,Cryokineticist,/classes/frostburn--68/cryokineticist/,true,Frostburn,/rulebooks/supplementals-35--5/frostburn--68/
158,Cultist of the Shattered Peak,/classes/lost-empires-of-faerun--30/cultist-of-the-shattered-peak/,true,Lost Empires of Faerun,/rulebooks/forgotten-realms-35--4/lost-empires-of-faerun--30/
159,Cyran Avenger,/classes/five-nations--101/cyran-avenger/,true,Five Nations,/rulebooks/eberron-35--3/five-nations--101/
160,Cyre Scout,/classes/dragonmarked--7/cyre-scout/,true,Dragonmarked,/rulebooks/eberron-35--3/dragonmarked--7/
161,Daggerspell Mage,/classes/complete-adventurer--54/daggerspell-mage/,true,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
162,Daggerspell Shaper,/classes/complete-adventurer--54/daggerspell-shaper/,true,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
163,Daidoji Bodyguard,/classes/oriental-adventures--96/daidoji-bodyguard/,true,Oriental Adventures,/rulebooks/oriental-adventures--8/oriental-adventures--96/
164,Dark Hunter,/classes/complete-warrior--61/dark-hunter/,true,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
165,Dark Lantern,/classes/five-nations--101/dark-lantern/,true,Five Nations,/rulebooks/eberron-35--3/five-nations--101/
166,Dark Scholar,/classes/the-shattered-gates-of-slaughtergarde--104/dark-scholar/,true,The Shattered Gates of Slaughtergarde,/rulebooks/supplementals-35--5/the-shattered-gates-of-slaughtergarde--104/
167,Darkmask,/classes/lords-of-darkness--95/darkmask/,true,Lords of Darkness,/rulebooks/forgotten-realms-30--6/lords-of-darkness--95/
168,Darkrunner,/classes/lords-of-madness--72/darkrunner/,true,Lords of Madness,/rulebooks/supplementals-35--5/lords-of-madness--72/
169,Darksong Knight (Fighter),/classes/champions-of-valor--28/darksong-knight-fighter/,false,Champions of Valor,/rulebooks/forgotten-realms-35--4/champions-of-valor--28/
170,Darkwood Stalker,/classes/complete-warrior--61/darkwood-stalker/,true,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
171,Dawncaller,/classes/races-of-stone--82/dawncaller/,true,Races of Stone,/rulebooks/supplementals-35--5/races-of-stone--82/
172,Deadgrim,/classes/magic-of-eberron--9/deadgrim/,true,Magic of Eberron,/rulebooks/eberron-35--3/magic-of-eberron--9/
173,Death Delver,/classes/heroes-of-horror--70/death-delver/,true,Heroes of Horror,/rulebooks/supplementals-35--5/heroes-of-horror--70/
174,Death Master,/classes/dragon-compendium--109/death-master/,false,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
175,Death&#39;s Chosen,/classes/libris-mortis-the-book-of-the-dead--71/deaths-chosen/,true,Libris Mortis: The Book of the Dead,/rulebooks/supplementals-35--5/libris-mortis-the-book-of-the-dead--71/
176,Deathwarden Chanter,/classes/ghostwalk--94/deathwarden-chanter/,true,Ghostwalk,/rulebooks/supplementals-30--7/ghostwalk--94/
177,Deep Diviner,/classes/underdark--34/deep-diviner/,true,Underdark,/rulebooks/forgotten-realms-35--4/underdark--34/
